State,ES_16above,ES_inlabor,ES_not_inlabor,ES_own_under6,ES_Gov,ES_Const,ES_Manuf,Year
Alabama,3714504,2246848,1467656,343965,332613,160208,296253,2010
Alaska,528189,380443,147746,58949,84606,27629,15338,2010
Arizona,4813496,2995656,1817840,530317,416233,244026,211782,2010
Arkansas,2247624,1367999,879625,223344,202409,93001,187690,2010
California,28445585,18418306,10027279,2916428,2425341,1157120,1721087,2010
Colorado,3820290,2666975,1153315,394067,349593,217545,178785,2010
Connecticut,2820837,1919849,900988,242112,236804,112301,207476,2010
Delaware,700375,454892,245483,63984,60859,31508,39518,2010
District of Columbia,493401,331098,162303,35311,78192,8727,3670,2010
Florida,14988197,9187180,5801017,1233611,1098322,712177,479181,2010
Georgia,7287745,4770546,2517199,784824,675962,339321,480931,2010
Hawaii,1068287,714067,354220,96966,128536,51721,20478,2010
Idaho,1153611,755926,397685,138836,108582,62322,71695,2010
Illinois,9967535,6654048,3313487,978908,780081,361528,789606,2010
Indiana,4996762,3279674,1717088,499826,350347,192135,571087,2010
Iowa,2377835,1642493,735342,230724,215073,98644,232877,2010
Kansas,2175144,1494540,680604,230280,228678,88717,186200,2010
Kentucky,3383799,2056333,1327466,315702,286254,127740,263957,2010
Louisiana,3455412,2133382,1322030,347714,323145,171323,164918,2010
Maine,1083357,706647,376710,81006,93975,50617,66406,2010
Maryland,4503062,3135769,1367293,420852,643957,217804,152988,2010
Massachusetts,5224911,3537380,1687531,434472,426584,191971,323351,2010
Michigan,7836314,4944003,2892311,716206,530927,230305,770715,2010
Minnesota,4111966,2920173,1191793,410656,334700,167128,384319,2010
Mississippi,2274381,1358952,915429,234448,229171,94487,163836,2010
Missouri,4664019,3042128,1621891,443545,371076,194949,335811,2010
Montana,778518,508615,269903,69018,88177,42525,23744,2010
Nebraska,1397699,993941,403758,150174,132571,61002,102617,2010
Nevada,2050325,1387343,662982,216117,155498,115602,54763,2010
New Hampshire,1056843,739794,317049,85287,92838,52071,91791,2010
New Jersey,6893087,4596702,2296385,641671,615807,259043,396329,2010
New Mexico,1561181,966423,594758,162941,198160,75349,47079,2010
New York,15394140,9808150,5585990,1338231,1520566,533243,654700,2010
North Carolina,7287107,4725801,2561306,713319,641586,349220,568153,2010
North Dakota,529990,370984,159006,48780,60231,24388,26495,2010
Ohio,9079315,5889779,3189536,839807,693114,301725,859548,2010
Oklahoma,2866572,1806858,1059714,292450,285562,123882,169945,2010
Oregon,3000732,1935232,1065500,270235,247860,123993,207948,2010
Pennsylvania,10147657,6418310,3729347,847381,694589,368430,771180,2010
Rhode Island,855547,564706,290841,68902,68646,30366,61436,2010
South Carolina,3567959,2243697,1324262,335873,318267,161576,280960,2010
South Dakota,623566,433669,189897,64545,65495,26665,41192,2010
Tennessee,4919958,3098473,1821485,462855,400290,206392,388841,2010
Texas,18380464,12065652,6314812,2185367,1633861,960632,1081154,2010
Utah,1907903,1319947,587956,296771,197303,98085,132532,2010
Vermont,509527,350953,158574,37309,48200,25794,35498,2010
Virginia,6216349,4188053,2028296,583407,784595,288394,311717,2010
Washington,5186380,3432213,1754167,493073,513474,229945,334247,2010
West Virginia,1498611,824270,674341,118219,142964,56061,67662,2010
Wisconsin,4458387,3078465,1379922,415579,356366,171616,536934,2010
Wyoming,429389,300640,128749,43619,56225,24932,14729,2010
