State,ES_16above,ES_inlabor,ES_not_inlabor,ES_own_under6,ES_Gov,ES_Const,ES_Manuf,Year
Alabama,3779457,2265008,1514449,347979,338248,145362,279230,2012
Alaska,545497,389890,155607,61566,88638,27168,13347,2012
Arizona,4967615,3049419,1918196,526186,420242,197357,205896,2012
Arkansas,2285328,1377211,908117,224843,208137,87424,178206,2012
California,29163075,18821426,10341649,2938955,2426914,1027677,1679459,2012
Colorado,3955983,2749557,1206426,398706,361860,198104,179691,2012
Connecticut,2859923,1949251,910672,236010,239107,102566,197445,2012
Delaware,718553,464607,253946,63953,61820,28198,39784,2012
District of Columbia,513352,348010,165342,38582,83041,9478,3929,2012
Florida,15364895,9328439,6036456,1242909,1096417,573032,454953,2012
Georgia,7508748,4844814,2663934,790437,676488,294651,466887,2012
Hawaii,1093852,727728,366124,99565,131504,48502,20822,2012
Idaho,1188341,767626,420715,140659,112402,53575,69184,2012
Illinois,10079433,6719976,3359457,970469,783830,324722,767822,2012
Indiana,5067379,3292887,1774492,498592,348236,177746,548366,2012
Iowa,2405664,1651480,754184,232656,218758,95581,229557,2012
Kansas,2208363,1513938,694425,235153,232097,88243,179685,2012
Kentucky,3433526,2071789,1361737,318001,289489,116740,254467,2012
Louisiana,3542555,2192304,1350251,357825,329436,166777,160722,2012
Maine,1089755,706163,383592,80103,92093,47092,62054,2012
Maryland,4598714,3199290,1399424,424914,657659,206098,150538,2012
Massachusetts,5320423,3614094,1706329,433890,428416,182294,314245,2012
Michigan,7849558,4889594,2959964,692261,516699,207349,722680,2012
Minnesota,4180087,2955309,1224778,414682,338159,155001,376376,2012
Mississippi,2300867,1361499,939368,235955,233579,87251,155506,2012
Missouri,4729641,3062560,1667081,445391,371816,178324,324797,2012
Montana,794385,517348,277037,71298,88312,39115,22791,2012
Nebraska,1419577,1008534,411043,151600,135602,61041,102241,2012
Nevada,2115306,1414374,700932,219404,159312,90723,51936,2012
New Hampshire,1068648,745330,323318,81882,96255,50113,88858,2012
New Jersey,6985329,4672338,2312991,635962,611028,241514,382554,2012
New Mexico,1597923,979619,618304,166478,199496,66690,45358,2012
New York,15615122,9969586,5645536,1343944,1500457,516447,626972,2012
North Carolina,7523670,4832418,2691252,725976,650839,311292,545336,2012
North Dakota,543270,383089,160181,51680,61521,25785,26367,2012
Ohio,9138488,5880517,3257971,832090,693695,280669,815530,2012
Oklahoma,2924464,1834109,1090355,298986,293699,124876,165749,2012
Oregon,3072774,1957085,1115689,272087,250369,103639,198941,2012
Pennsylvania,10265643,6487488,3778155,848882,685685,349627,747232,2012
Rhode Island,857434,568800,288634,67171,67331,26513,59190,2012
South Carolina,3675075,2280559,1394516,342749,323591,141930,272400,2012
South Dakota,636670,441775,194895,66700,68191,27152,41157,2012
Tennessee,5030090,3137286,1892804,468031,406487,189371,364481,2012
Texas,19110058,12507191,6602867,2233363,1675528,928574,1086151,2012
Utah,1984562,1368252,616310,305100,202330,87582,135059,2012
Vermont,513968,350996,162972,36887,48240,24754,34773,2012
Virginia,6377782,4276515,2101267,591096,801540,264814,297251,2012
Washington,5345975,3511749,1834226,504821,522793,208134,331729,2012
West Virginia,1508549,827489,681060,119322,145596,51384,64561,2012
Wisconsin,4512525,3090671,1421854,416540,360345,159488,524289,2012
Wyoming,442182,307324,134858,46092,59238,24339,13442,2012
