State,Male_household_nofamily,None_Family_household,Householder_living_alone,Household_people_under18,Population_in_household,Relationship_child,Never_Married,Divorced,Kindergarten,12grade_nodiploma,Some_college_no_degree,Grade_professional_degree,Naturalised_US_citizen,Not_US_citizen,Year
Alabama,78073,609358,532123,581680,4713245,1424435,613105,213443,62092,343006,711180,282838,58697,108527,2015
Alaska,14733,83407,64538,89686,706026,230218,117053,32365,10640,22990,130983,46720,29717,24330,2015
Arizona,131803,830832,659485,767607,6491160,1970330,950858,283950,87639,337830,1118715,445585,354181,541823,2015
Arkansas,50484,378101,320642,362679,2875876,841229,351044,139710,40561,188138,440740,146358,42878,95944,2015
California,759047,3985067,3062512,4586275,37604610,12078140,6108337,1223367,515379,2067120,5516887,2936588,5042643,5347443,2015
Colorado,91627,723496,560467,652223,5162330,1485598,736254,217735,70920,191341,790822,494030,199542,316230,2015
Connecticut,58815,456944,378145,426413,3475053,1072559,529636,127191,41868,144132,430129,409606,243086,257075,2015
Delaware,17088,113715,91710,105762,901179,265302,130410,36455,11845,48408,124543,77221,36393,43770,2015
District of Columbia,10502,154653,119803,58930,607259,141084,149171,21585,7554,29054,62033,141872,36734,54854,2015
Florida,338899,2600606,2119042,2041196,19215626,5533098,2754067,900277,226608,1077209,2858695,1361593,2043507,1832192,2015
Georgia,168974,1150827,956577,1256799,9745188,3113274,1395342,373114,146221,595578,1366635,695298,392838,588643,2015
Hawaii,24840,136960,106168,150768,1362527,392290,216015,48072,17369,46787,211813,100704,141775,107544,2015
Idaho,25859,183152,147698,201010,1586697,499976,186102,69051,23884,66332,277700,84354,34957,62931,2015
Illinois,218183,1661705,1383686,1541976,12573306,3955020,1901776,431683,167787,570134,1816777,1066084,863945,939742,2015
Indiana,116108,846894,701587,808705,6379892,1942104,855873,295758,85793,351986,901226,375509,114953,201415,2015
Iowa,51245,438928,356751,374145,2993082,847199,393040,124744,43551,105938,440810,173980,54514,91853,2015
Kansas,48857,384004,319955,363415,2813882,848029,364056,117382,42191,110237,452272,205994,71844,128438,2015
Kentucky,82083,571781,480564,543367,4268775,1235368,541129,211463,58661,270587,613300,272390,54613,96419,2015
Louisiana,88598,599687,507460,566369,4496904,1420482,674588,192396,63479,328239,650181,234270,75193,109643,2015
Maine,24446,205705,161447,146802,1293418,324584,166521,69601,14438,50525,189860,97786,25441,21122,2015
Maryland,105011,716097,585309,722372,5790058,1786427,859069,193890,78560,260143,785207,696531,414602,443202,2015
Massachusetts,104560,928804,732066,774788,6456367,1908933,1040150,212213,79335,251050,745794,817953,539588,498539,2015
Michigan,175804,1343314,1115974,1157766,9673605,2923653,1405024,413996,126070,480212,1583736,696956,318192,304683,2015
Minnesota,90762,748196,600804,662131,5284150,1549113,747196,192296,71568,161393,796046,406930,203480,215196,2015
Mississippi,55222,347472,302021,376542,2893030,919579,411969,123515,46698,224018,442478,149770,24097,45050,2015
Missouri,101958,834682,689714,728944,5870934,1715240,780240,266150,80080,318743,917017,413455,104072,133408,2015
Montana,17734,153924,124862,112580,985861,264511,133046,48729,13596,35390,171179,65349,11133,9852,2015
Nebraska,30098,259986,213141,233860,1817463,534437,238939,69129,26536,63610,290878,117678,44186,79165,2015
Nevada,62536,364755,285494,328062,2762178,826057,405554,146633,37673,164068,489887,147988,243490,293762,2015
New Hampshire,21982,172873,132805,152983,1283167,354638,174192,58044,14838,48063,176216,120698,40187,35560,2015
New Jersey,154212,977955,820987,1088508,8717691,2831897,1301355,238379,115236,368745,1029575,854655,1024074,905051,2015
New Mexico,43068,268572,223689,241978,2041091,644572,301422,93990,28712,120873,322648,157777,71352,132352,2015
New York,360634,2636319,2155282,2243159,19093919,5897444,3171691,560762,238409,1035726,2176309,1992047,2375214,2047527,2015
North Carolina,167799,1277588,1059062,1206368,9591652,2843901,1299704,357392,131955,578830,1435877,653178,257970,500051,2015
North Dakota,12601,117774,92487,85496,695250,182371,107774,26669,9960,20552,109591,35588,8796,14031,2015
Ohio,205848,1647486,1375707,1386454,11265263,3322024,1566702,500253,146428,608526,1615405,761265,239543,237034,2015
Oklahoma,73378,489312,409587,479287,3739677,1113010,468525,183853,58012,217069,599686,200841,73902,147999,2015
Oregon,68744,561639,427884,450529,3852161,1046449,532072,184086,48298,169072,714607,312423,156212,232480,2015
Pennsylvania,218161,1755985,1463296,1429249,12349526,3620731,1854381,434705,145089,640130,1435688,986815,415491,385028,2015
