State,Male_household_nofamily,None_Family_household,Householder_living_alone,Household_people_under18,Population_in_household,Relationship_child,Never_Married,Divorced,Kindergarten,12grade_nodiploma,Some_college_no_degree,Grade_professional_degree,Naturalised_US_citizen,Not_US_citizen,Year
Rhode Island,19401,153062,124074,120068,1012127,292002,164053,39485,10947,56202,133029,92312,72424,68158,2015
South Carolina,82715,602449,507973,564805,4640086,1368263,645694,180869,73993,304635,674208,299191,86989,141419,2015
South Dakota,14911,117864,97539,100649,809185,230073,112599,34542,11865,28473,120767,44073,8951,16479,2015
Tennessee,113241,839111,704908,787528,6345572,1856600,813236,293727,80011,389310,918673,395764,113899,201093,2015
Texas,466258,2785092,2287358,3460310,25945456,8629837,3569322,958336,419345,1503584,3774658,1568834,1523217,2875863,2015
Utah,38394,226285,176971,384361,2856956,1063138,347266,87576,51361,96841,457927,173577,89541,153260,2015
Vermont,10292,97710,74021,69621,601162,151516,88138,28862,6504,23248,76003,62313,15202,11454,2015
Virginia,130767,1008367,815144,1004376,8013933,2371466,1136647,282845,106849,383502,1109861,854860,475897,490704,2015
Washington,119379,946724,735202,832331,6844490,1963414,963806,296012,90152,262011,1159463,565477,437623,499948,2015
West Virginia,33962,261087,222024,203741,1802504,491127,233630,94187,20583,127304,239978,96296,13887,14478,2015
Wisconsin,102265,829817,666869,679743,5593313,1605234,796193,228049,86715,226458,817990,363838,120022,153367,2015
Wyoming,10771,79636,63516,68939,565538,158113,72677,28782,7739,21873,103479,33013,7543,13062,2015
