State,Male_household_nofamily,None_Family_household,Householder_living_alone,Household_people_under18,Population_in_household,Relationship_child,Never_Married,Divorced,Kindergarten,12grade_nodiploma,Some_college_no_degree,Grade_professional_degree,Naturalised_US_citizen,Not_US_citizen,Year
Alabama,78523,630364,548612,564312,4745881,1420593,632616,214079,60573,320651,713655,307152,63087,105024,2018
Alaska,14959,85829,65197,88509,711117,226219,116513,31347,10549,22515,129419,51592,32782,24617,2018
Arizona,138254,876174,689602,780860,6790680,2022987,1019271,299688,87642,346719,1172161,502951,394826,538326,2018
Arkansas,52998,387359,327441,364332,2906459,841966,363211,141330,39650,175645,451364,162901,45662,96818,2018
California,773046,4050207,3084533,4510547,38329281,12167052,6301080,1205003,521251,2004376,5582150,3272956,5353219,5184310,2018
Colorado,97891,761704,578532,658570,5411306,1527658,794592,234293,70447,189113,803337,560422,224034,318943,2018
Connecticut,61758,474434,390350,407225,3466662,1046036,539472,126951,39090,134758,416267,426303,262828,250818,2018
Delaware,16416,119864,97487,103414,924444,269603,135250,35178,11723,44608,125186,86438,41473,45905,2018
District of Columbia,9811,159534,124201,58763,644878,153954,155768,20436,7806,26819,62618,161532,40170,55988,2018
Florida,370231,2703919,2188759,2074667,20166501,5761092,2915875,938502,229047,1045665,2963473,1561822,2329271,1897939,2018
Georgia,175248,1207720,997979,1265807,10037150,3172455,1458526,383369,139548,579158,1394241,797169,444501,591482,2018
Hawaii,26023,137713,108906,148011,1377998,388924,217911,47512,16034,43298,207856,108943,150370,109216,2018
Idaho,26870,199643,163549,200859,1657779,519177,201255,72339,23547,64518,287113,94621,39721,61275,2018
Illinois,221315,1712705,1417008,1495858,12523597,3866440,1925842,429595,156440,532091,1799808,1155958,899336,898381,2018
Indiana,122762,885425,726648,801236,6449747,1929733,891237,297024,84277,337984,898842,412800,134673,207242,2018
Iowa,53290,456345,367268,375489,3032415,848657,410089,123752,42395,101227,441087,191197,61476,100396,2018
Kansas,49491,392892,325708,357101,2828708,842426,375900,116644,40006,106507,442045,228614,79978,126705,2018
Kentucky,82763,592972,491997,540581,4309065,1219300,561256,211710,53473,254575,628235,293666,64433,102677,2018
Louisiana,88389,622070,524332,546175,4534221,1431578,701253,192011,59189,313742,656172,254423,78677,114528,2018
Maine,24867,208996,163114,142151,1296802,319780,169473,69842,13546,47995,189609,109107,26522,21424,2018
Maryland,105838,725964,591551,712170,5862883,1793080,876744,195214,74647,245634,779171,752924,462996,440537,2018
Massachusetts,109720,950106,743506,765600,6579553,1908034,1082681,218134,76330,240155,740784,908825,596451,533281,2018
Michigan,185523,1395129,1146430,1136575,9728101,2864512,1441579,416570,120182,441326,1590065,757375,348239,322866,2018
Minnesota,93217,772287,615196,663373,5394498,1564879,769393,199281,71333,153159,792097,451419,233645,228113,2018
Mississippi,53350,365308,317826,363381,2892341,912371,419047,124069,44090,210530,440894,162903,26435,43317,2018
Missouri,107055,855696,702904,717695,5915004,1697910,801054,267962,75544,296160,923045,451540,116199,131589,2018
Montana,17551,163011,130033,113204,1012863,265584,138115,50521,12906,34288,169796,74246,11969,10716,2018
Nebraska,31450,270029,219665,238931,1852809,539041,247409,70014,26443,61511,285916,130925,50335,83089,2018
Nevada,68216,392745,307649,331289,2885149,846656,434924,151314,36101,160260,515011,167838,273143,293257,2018
New Hampshire,23544,179173,137426,147661,1301042,349355,181987,59778,13811,46431,177691,134148,44906,36381,2018
New Jersey,155843,990994,829344,1059950,8697059,2788817,1303439,238903,109189,337896,1019736,926146,1098338,869722,2018
New Mexico,44469,282875,236373,234685,2049476,633095,312633,95949,27503,118835,327375,165067,78111,123123,2018
New York,363682,2682333,2176387,2170745,19043605,5743048,3156059,558272,230165,982672,2137839,2139561,2502073,1937820,2018
North Carolina,173471,1345071,1113548,1219054,9882910,2878059,1361510,370627,125722,546950,1479791,753360,305259,494357,2018
North Dakota,13122,126615,98845,87341,726653,191331,113320,27279,10023,21091,110567,38844,12081,17548,2018
Ohio,219756,1700315,1410748,1375410,11327784,3277376,1625007,500376,138199,562840,1624247,834760,267363,253618,2018
Oklahoma,76016,499158,414568,481746,3808014,1136916,494089,183604,55374,208035,606833,219241,81544,152992,2018
Oregon,71845,585966,439093,456943,3993967,1066128,566518,188752,45820,168726,732477,354673,177409,228412,2018
Pennsylvania,230451,1793062,1484446,1422347,12366049,3551769,1871651,444073,139044,582854,1426783,1083612,454876,410844,2018
Rhode Island,18624,155219,126661,117724,1014869,293962,167844,40391,10943,49838,133087,98369,79618,64579,2018
South Carolina,84331,644916,542317,565021,4819128,1404894,683498,188347,70298,294132,698504,338858,98924,141515,2018
South Dakota,14849,124580,102442,102763,830281,233642,117435,34737,12063,29052,120325,49051,11159,18953,2018
Tennessee,117724,871215,722285,790381,6496195,1874865,857483,290886,79373,370670,942609,443752,125428,208634,2018
Texas,488202,2923721,2397543,3542083,27285450,9116950,3869618,985062,409342,1487321,3892527,1809633,1738344,2998348,2018
Utah,40763,240735,184648,395617,2998673,1098298,374415,89667,50305,93826,464955,201423,99118,157442,2018
Vermont,10731,101183,77381,67156,599602,147129,88869,28779,6317,22520,77197,67072,15703,13289,2018
Virginia,136383,1043170,843863,1002166,8169581,2394100,1166574,287858,106787,364445,1112619,942374,535760,502400,2018
Washington,127803,987127,751465,861147,7151776,2001444,1019355,298290,91543,257591,1183496,658640,484188,536793,2018
West Virginia,34837,258841,217917,202343,1781035,472795,232445,93918,19705,116781,240593,103718,15013,14627,2018
Wisconsin,107700,858674,683448,676150,5631740,1572791,817018,231366,80830,208747,814428,398280,130648,156733,2018
Wyoming,11004,81938,65525,69203,567639,158214,72218,29247,7570,20242,102236,36980,7695,12581,2018
