State,ES_16above,ES_inlabor,ES_not_inlabor,ES_own_under6,ES_Gov,ES_Const,ES_Manuf,Year
Alabama,3876136,2233209,1642927,331857,320782,131822,291616,2017
Alaska,571453,400622,170831,62314,89299,26091,12799,2017
Arizona,5371341,3197116,2174225,498102,412271,200988,208464,2017
Arkansas,2351061,1366102,984959,216927,198859,83322,171238,2017
California,30910058,19612777,11297281,2880638,2431062,1095245,1711597,2017
Colorado,4320213,2946354,1373859,390818,371117,218515,189456,2017
Connecticut,2928091,1954364,973727,218312,234604,104122,191519,2017
District of Columbia,564615,392421,172194,48122,87931,9453,4579,2017
Delaware,762704,474774,287930,63577,62670,28166,36940,2017
Florida,16645386,9772762,6872624,1271864,1070198,641435,461205,2017
Georgia,7985333,5026306,2959027,760181,677730,301027,487467,2017
Hawaii,1145914,746440,399474,103257,136689,48736,19994,2017
Idaho,1271362,794662,476700,134431,113124,53093,72969,2017
Illinois,10237883,6690195,3547688,912376,735353,323578,762175,2017
Indiana,5216340,3329372,1886968,482619,333491,183127,587394,2017
Iowa,2470612,1670448,800164,230457,212517,100925,241327,2017
Kansas,2264633,1509484,755149,231511,220124,89848,179467,2017
Kentucky,3526066,2093572,1432494,309485,279246,113506,280795,2017
Maine,1104528,697342,407186,74647,89787,44995,60167,2017
Louisiana,3674007,2204055,1469952,356650,302249,163286,160340,2017
Massachusetts,5576176,3755481,1820695,423842,427869,194219,317979,2017
Maryland,4800851,3267069,1533782,423900,664664,203192,136368,2017
Michigan,7985908,4890342,3095566,662315,476912,228820,831697,2017
Minnesota,4347413,3036696,1310717,409368,338915,169068,391780,2017
Mississippi,2341439,1349864,991575,217935,221107,82677,163823,2017
Missouri,4844505,3062657,1781848,427686,349585,176116,329833,2017
Montana,828198,526388,301810,71242,87271,40942,23204,2017
Nebraska,1474713,1031005,443708,152508,135934,67314,105404,2017
New Hampshire,1102267,748779,353488,76033,94361,49533,89847,2017
Nevada,2292486,1465320,827166,208899,159871,85110,57681,2017
New Jersey,7197215,4724242,2472973,616144,589100,249596,362892,2017
New Mexico,1643708,962123,681585,152277,194470,60046,37936,2017
New York,16080981,10176202,5904779,1347880,1448673,528962,590021,2017
North Carolina,8021719,5019831,3001888,700654,660018,306585,569099,2017
North Dakota,592279,417893,174386,59536,62761,30829,27446,2017
Ohio,9290812,5875255,3415557,800340,661061,284337,849082,2017
Oklahoma,3043261,1869043,1174218,302792,291715,124771,170277,2017
Oregon,3260075,2026747,1233328,266672,257394,110115,215210,2017
Pennsylvania,10419971,6523666,3896305,825669,633509,351087,726822,2017
Rhode Island,871329,568020,303309,63869,64352,28458,56576,2017
South Carolina,3926466,2381900,1544566,331452,331131,142044,300142,2017
South Dakota,666450,458023,208427,69293,65223,31905,43702,2017
Tennessee,5270257,3225549,2044708,460619,408851,189877,391320,2017
Texas,20998008,13565038,7432970,2294591,1675173,1038063,1116657,2017
Utah,2179088,1480657,698431,299151,204604,94370,151378,2017
Vermont,520031,342645,177386,34829,46251,24026,34873,2017
Virginia,6708391,4431500,2276891,589925,819795,264774,289635,2017
West Virginia,1503051,805727,697324,114029,140020,46692,59860,2017
Washington,5734852,3685819,2049033,519299,543582,216981,353242,2017
Wyoming,459782,310748,149034,43511,61401,22165,11821,2017
Wisconsin,4618274,3087719,1530555,395492,358788,160587,540274,2017
