State,total population,male,female,under_5yrs,5to9_yrs,10to14_yrs,15to19_yrs,60to64_yrs,65to74_yrs,75to84_yrs,85andover,median_age,18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,Year
Alabama,4841164,2346193,2494971,292771,305707,313980,324809,297361,434510,225663,82221,38.6,3735975,3325037,1282053,23919,60744,4841164,2209335,2016
Alaska,736855,385296,351559,54432,52309,50793,49133,42093,46577,16759,5969,33.6,549239,483518,24443,103574,44218,736855,309171,2016
Arizona,6728577,3344106,3384471,434939,457144,454665,458070,388602,620856,326244,123051,37.1,5108959,5235158,287110,296732,205229,6728577,2913541,2016
Arkansas,2968472,1456694,1511778,190884,201293,195820,201365,176200,269411,140847,54729,37.7,2261238,2307136,460638,18697,41539,2968472,1341391,2016
California,38654206,19200970,19453236,2499561,2538872,2536895,2633446,2083531,2822406,1475866,678710,36,29513923,23680584,2261835,285512,5354608,38654206,13911737,2016
Colorado,5359295,2689636,2669659,335492,355338,351831,345616,314977,409242,190638,78160,36.4,4113114,4517058,219349,50160,157523,5359295,2284863,2016
Connecticut,3588570,1750270,1838300,188812,210557,228543,252522,223274,303959,163137,87927,40.6,2814918,2768080,372696,9399,152782,3588570,1493798,2016
Delaware,934695,452416,482279,55611,56566,57408,60446,58295,90854,44977,18002,39.6,730503,647002,203027,3494,34428,934695,417927,2016
District of Columbia,659009,312629,346380,41955,32422,24759,38024,32838,42680,21896,10590,33.8,544324,266035,318598,2174,24036,659009,306711,2016
Florida,19934451,9741262,10193189,1094213,1116799,1145558,1185544,1242147,2084139,1198775,514711,41.6,15868175,15130748,3216994,52904,521272,19934451,9152815,2016
Georgia,10099320,4922471,5176849,660941,702690,711030,710527,549248,765556,354591,126148,36.2,7604145,6039389,3148134,28950,373983,10099320,4156518,2016
Hawaii,1413673,709870,703803,91645,84839,83667,79892,88748,126472,63545,37597,38.5,1105457,353643,25871,2715,537363,1413673,530289,2016
Idaho,1635483,819845,815638,114063,122595,123175,116334,97938,139140,67595,26611,35.7,1204163,1493155,10433,21454,21630,1635483,686013,2016
Illinois,12851684,6310460,6541224,790205,829477,850325,865659,749793,1000237,535327,248533,37.4,9861055,9270907,1837612,29399,655799,12851684,5310327,2016
Indiana,6589578,3245322,3344256,420024,443005,446516,459078,392119,535846,280246,124231,37.4,5007586,5534759,608226,15799,130232,6589578,2830669,2016
Iowa,3106589,1542988,1563601,196868,204844,203643,215024,194062,259860,153198,77723,38,2379075,2823890,103052,9951,66570,3106589,1362619,2016
Kansas,2898292,1441912,1456380,198915,202836,200652,201440,168973,226565,127315,61647,36.2,2176945,2468923,167706,23871,77605,2898292,1248955,2016
Kentucky,4411989,2172745,2239244,274525,281090,286886,288980,271771,384692,192551,75757,38.6,3397799,3859516,350242,9052,57084,4411989,1951090,2016
Louisiana,4645670,2271684,2373986,309257,312804,307531,306102,273307,371899,188842,72984,36.2,3531648,2909290,1494201,26403,78719,4645670,2011700,2016
Maine,1329923,651344,678579,65146,72808,73566,82208,97195,139478,71641,31132,44,1070422,1260476,16303,8013,14643,1329923,727127,2016
Maryland,5959902,2886734,3073168,367551,374401,374976,389754,355074,475899,236615,107536,38.3,4612092,3408240,1765926,15946,362259,5959902,2421909,2016
Massachusetts,6742143,3269371,3472772,363610,374138,401226,461145,411465,562591,299231,154857,39.4,5351591,5343665,489233,13931,411736,6742143,2836658,2016
Michigan,9909600,4869885,5039715,573965,607459,641499,682572,638458,870644,452367,204687,39.5,7681837,7817827,1376446,52891,276769,9909600,4544920,2016
Minnesota,5450868,2710157,2740711,348800,362804,356907,357492,326799,431660,233134,114611,37.8,4168770,4597525,310853,56904,246819,5450868,2382855,2016
Mississippi,2989192,1450269,1538923,192390,207898,208103,213226,174695,249257,128677,48698,36.7,2256957,1764038,1121327,13072,28562,2989192,1295242,2016
Missouri,6059651,2973317,3086334,374010,389938,392407,400528,369584,524097,284040,121797,38.3,4664527,5000875,701896,25641,107953,6059651,2738774,2016
Montana,1023391,514191,509200,60995,65025,61764,64530,72557,99684,50018,21166,39.8,798371,911907,4260,67222,7481,1023391,491439,2016
Nebraska,1881259,935935,945324,130580,132938,128929,128681,110361,146131,84473,40894,36.2,1413658,1655708,88388,15739,39794,1881259,815006,2016
Nevada,2839172,1426322,1412850,180440,188922,184398,175865,164568,249640,113808,37407,37.5,2174540,1933057,243552,31927,222612,2839172,1200517,2016
New Hampshire,1327503,656507,670996,64676,74086,77373,90122,91245,123021,60143,27221,42.4,1060524,1243594,17483,2085,32094,1327503,620729,2016
New Jersey,8915456,4350531,4564925,528509,550627,574364,579261,525160,726212,390880,195199,39.5,6905643,6075710,1207221,18470,819208,8915456,3586442,2016
New Mexico,2082669,1031440,1051229,133769,142699,141144,141518,130164,186755,95267,36264,37.2,1580919,1530636,41957,193295,29168,2082669,912445,2016
New York,19697457,9555130,10142327,1170723,1149222,1171027,1274564,1165552,1600042,866782,426977,38.2,15471048,12667413,3073278,75751,1599216,19697457,8191568,2016
North Carolina,9940828,4834592,5106236,605960,644338,651637,658761,587721,864218,430970,164142,38.3,7653002,6882915,2137131,117479,254550,9940828,4453767,2016
North Dakota,736162,376979,359183,51419,48058,42617,48452,42634,54162,33124,17459,35.2,568445,649730,14761,38369,9296,736162,350134,2016
Ohio,11586941,5673893,5913048,695764,727074,751917,778347,734487,1004672,540558,251107,39.3,8947081,9519506,1421943,21459,224520,11586941,5146944,2016
Oklahoma,3875589,1919995,1955594,265818,268663,263520,258762,220761,322630,173078,66177,36.2,2923264,2823497,281295,286231,77541,3875589,1699462,2016
