State,total population,male,female,under_5yrs,5to9_yrs,10to14_yrs,15to19_yrs,60to64_yrs,65to74_yrs,75to84_yrs,85andover,median_age,18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,Year
Oregon,3982267,1971512,2010755,232001,242455,239626,245719,269282,374410,175646,84518,39.1,3120872,3387825,74012,45233,160155,3982267,1706290,2016
Pennsylvania,12783977,6255042,6528935,714598,744333,763742,844276,824255,1152343,656631,324273,40.6,10079709,10402743,1410563,24947,401979,12783977,5592175,2016
Rhode Island,1054491,511297,543194,54767,56610,62248,74637,65516,89611,48107,28799,39.9,842085,854026,68886,5130,34598,1054491,462657,2016
South Carolina,4834605,2348338,2486267,291499,308092,303601,315543,306976,466367,214465,80848,38.8,3748826,3252252,1322368,15417,68553,4834605,2192041,2016
South Dakota,851058,428134,422924,60094,60272,56089,57294,52553,68865,40129,20215,36.8,641443,721410,14078,74187,11351,851058,375866,2016
Tennessee,6548009,3191977,3356032,402160,416244,422117,420756,399018,584549,292526,107374,38.5,5053084,5096733,1100577,18757,105368,6548009,2873478,2016
Texas,26956435,13379165,13577270,1970686,2012405,1984186,1926342,1358592,1828562,915785,352220,34.2,19823959,20174403,3221133,128145,1175423,26956435,10441643,2016
Utah,2948427,1483055,1465372,253964,259551,250857,228269,129050,172376,89384,33582,30.3,2043231,2572595,32512,31686,66039,2948427,1024047,2016
Vermont,626249,308711,317538,30359,33409,34881,44470,45577,62328,30145,13720,42.6,504558,592965,7404,1984,9212,626249,326812,2016
Virginia,8310301,4086283,4224018,510257,523372,518662,546799,486693,677364,329960,137493,37.8,6444745,5712958,1596352,21948,502878,8310301,3445357,2016
Washington,7073146,3529431,3543715,447143,448647,441255,441557,435049,590229,276831,125782,37.6,5468551,5470566,256990,94026,552032,7073146,2966814,2016
West Virginia,1846092,912270,933822,101908,105109,106914,111633,132319,190104,98631,39389,41.9,1466244,1725411,63305,3281,13990,1846092,884728,2016
Wisconsin,5754798,2859055,2895743,340319,365329,370673,384551,362314,484655,264148,126417,39.1,4453300,4961193,361730,51459,148077,5754798,2649597,2016
Wyoming,583029,297691,285338,37967,40250,38635,36900,39278,47851,23227,9629,36.8,444185,531851,6435,13033,5385,583029,267987,2016
