State,Male_household_nofamily,None_Family_household,Householder_living_alone,Household_people_under18,Population_in_household,Relationship_child,Never_Married,Divorced,Kindergarten,12grade_nodiploma,Some_college_no_degree,Grade_professional_degree,Naturalised_US_citizen,Not_US_citizen,Year
Alabama,78462,618181,539898,572325,4722823,1424459,621892,214955,61563,334018,714201,290694,58841,106663,2016
Alaska,14542,83606,64301,88062,709094,230546,118457,31748,10194,23183,129498,48974,31138,24109,2016
Arizona,132729,846731,669679,770683,6575815,1981182,974198,288032,89375,340409,1130402,463744,365345,536203,2016
Arkansas,50873,383751,325225,361066,2885309,839843,356622,140736,41150,185931,446027,150889,44575,94459,2016
California,764980,4007368,3070034,4567578,37838221,12116940,6164931,1220174,521601,2048327,5548479,3040444,5139275,5298355,2016
Colorado,94042,732643,563422,655109,5242152,1499213,753390,226428,71122,190166,795294,514777,206682,317762,2016
Connecticut,60024,460300,378927,419031,3471703,1063397,534996,127100,42006,139653,427232,413949,248580,254629,2016
Delaware,16202,115482,93361,104346,909543,267103,132120,36129,11804,47632,124796,79551,38571,43979,2016
District of Columbia,10065,155445,119983,60836,619042,145186,150250,20903,7433,27898,62308,148064,38531,53982,2016
Florida,348506,2633407,2140641,2046455,19502015,5596498,2797521,916668,229205,1071545,2897250,1415499,2134726,1832945,2016
Georgia,170963,1167949,970912,1258172,9838303,3138735,1415322,377266,144087,588094,1383193,729390,402905,591724,2016
Hawaii,24944,137309,107391,148855,1369696,391737,215658,48288,17210,46528,211228,103489,143830,109721,2016
Idaho,26344,187826,152329,198148,1605557,506673,190880,69416,23643,65420,280534,87585,36450,61286,2016
Illinois,220351,1679527,1394412,1527144,12551035,3929776,1916091,428550,164970,553851,1815860,1090609,868052,923516,2016
Indiana,118218,858930,708172,803238,6400632,1942796,866562,297948,85517,348137,903839,386076,120604,203764,2016
Iowa,52194,443977,359395,375056,3006496,848510,399743,125115,43057,104145,441134,179782,56676,94491,2016
Kansas,49233,385977,321972,360351,2819203,848429,365041,119130,41435,110888,449787,213410,73866,126903,2016
Kentucky,82911,581566,486098,541835,4281075,1227278,550742,211547,57096,265469,618001,277011,57074,97069,2016
Louisiana,89389,608557,513429,560859,4517117,1427579,687616,194081,62450,325031,653009,242071,77620,109960,2016
Maine,24705,205478,161501,144124,1294118,325500,168752,70724,14400,49768,188695,100134,26111,21540,2016
Maryland,106574,721530,588355,718720,5819571,1789771,868214,194136,77947,254215,784968,717979,431575,442757,2016
Massachusetts,107366,931695,732852,769285,6491551,1911868,1059364,214647,78297,245598,743934,844686,554227,507234,2016
Michigan,178403,1362201,1125233,1148808,9680412,2892811,1419563,416397,123329,467257,1587525,714101,324859,307623,2016
Minnesota,91097,754550,604515,661149,5316464,1555363,755114,195430,71879,158201,795793,419643,210633,216058,2016
Mississippi,54926,351945,305565,372704,2894844,917392,413844,124005,46835,218979,443815,154276,24898,42432,2016
Missouri,103780,842999,694617,722866,5884807,1709748,790878,266142,79077,308790,917451,423802,106455,129624,2016
Montana,17942,155916,126003,113385,994541,264416,134217,49007,13644,35312,171382,68127,11324,9588,2016
Nebraska,30353,262898,215549,234889,1829382,538703,242555,69048,26471,63236,288253,121495,44584,81949,2016
Nevada,63129,372009,291234,326601,2801783,837248,416530,149223,37383,163036,499865,151982,255664,292032,2016
New Hampshire,22393,174897,133879,150857,1285615,351076,177948,58984,14685,47217,176695,124615,40973,36090,2016
New Jersey,154903,981891,822552,1080578,8728101,2831117,1314169,238292,113860,360515,1027215,878062,1047097,896241,2016
New Mexico,41945,272396,227228,238807,2039545,641451,305968,94032,28943,118383,322880,159991,72923,128420,2016
New York,362763,2654205,2164114,2214042,19118822,5885234,3188412,562395,237302,1018769,2177984,2037243,2421850,2020397,2016
North Carolina,169547,1300054,1076918,1208986,9686388,2857741,1312160,364699,130128,569525,1455858,684878,271942,495714,2016
North Dakota,12978,121697,95437,86423,709708,187191,110436,27573,10189,21188,110039,36664,9673,14691,2016
Ohio,211683,1661296,1383258,1382386,11275553,3303860,1586456,502960,143674,592185,1616966,781880,245794,238914,2016
Oklahoma,74731,493717,411696,478525,3765615,1120807,478569,184238,56800,214200,601712,206297,75889,149627,2016
Oregon,68238,566135,429212,451918,3894155,1056079,543654,185883,48535,169993,721059,327396,161938,228675,2016
Pennsylvania,219525,1766352,1467333,1416713,12354826,3603537,1869723,440556,143093,620993,1432781,1017910,425056,393307,2016
Rhode Island,19280,153776,124875,119100,1012343,292122,164990,41027,10927,52868,132648,94932,74736,67927,2016
South Carolina,84067,618250,520544,562826,4697622,1377241,657740,186135,72787,302825,686140,313089,90821,139895,2016
South Dakota,14665,119871,99355,100808,817052,233877,114722,34407,12116,28742,121641,45023,9858,17337,2016
Tennessee,114648,847451,708388,787970,6394154,1864261,827030,294773,80941,382885,931093,409635,116699,198620,2016
Texas,475487,2839505,2328732,3493763,26355323,8762395,3659177,961521,414700,1496184,3821713,1642209,1589804,2904541,2016
Utah,39020,228159,176856,387719,2902703,1077590,355678,88538,51913,94763,461790,181834,90378,154406,2016
Vermont,10353,98855,75140,68757,600847,150093,88955,29129,6591,23287,75531,63402,15218,12337,2016
Virginia,132531,1022235,826880,1005266,8068036,2379506,1145692,287665,106524,377441,1117077,882156,492475,494020,2016
Washington,120123,958393,741491,832822,6931677,1981093,981840,296687,89591,263469,1168713,590042,448143,509042,2016
West Virginia,34109,260564,220872,203376,1797297,486917,234396,94675,20496,126101,240404,99872,14669,14239,2016
Wisconsin,103841,838932,671956,675752,5606463,1599168,806243,229985,86034,220136,816540,374583,121771,155467,2016
Wyoming,11235,79024,63765,69577,568798,159975,72809,29569,7755,22081,102613,33921,8029,12683,2016
