State,ES_16above,ES_inlabor,ES_not_inlabor,ES_own_under6,ES_Gov,ES_Const,ES_Manuf,Year
Alabama,3806434,2259344,1547090,345134,337412,137668,275149,2013
Alaska,553214,393037,160177,62564,88271,26094,12992,2013
Arizona,5039711,3056508,1983203,517766,415326,181102,204219,2013
Arkansas,2301443,1372975,928468,225235,207620,84557,173568,2013
California,29516595,18946244,10570351,2925897,2398622,996922,1659850,2013
Colorado,4023722,2774490,1249232,397638,364351,186932,180228,2013
Connecticut,2879150,1958723,920427,233669,237685,99444,193945,2013
Delaware,726364,466696,259668,64204,62188,26078,39004,2013
District of Columbia,525070,357458,167612,40585,83485,9045,4061,2013
Florida,15563534,9355809,6207725,1244308,1084514,542384,441019,2013
Georgia,7598174,4852644,2745530,784689,669313,278561,456197,2013
Hawaii,1104534,728795,375739,101560,134363,44752,19932,2013
Idaho,1201999,766649,435350,139460,113542,50925,68694,2013
Illinois,10124119,6718236,3405883,955508,782356,310368,756029,2013
Indiana,5099339,3283407,1815932,496711,345195,171832,544081,2013
Iowa,2420102,1650140,769962,232181,216917,94259,228830,2013
Kansas,2222215,1509187,713028,236877,228475,86797,177830,2013
Kentucky,3454107,2076555,1377552,317070,289479,113206,252749,2013
Louisiana,3577960,2203325,1374635,359418,327180,163275,161080,2013
Maine,1092849,703066,389783,78164,92812,45585,60165,2013
Maryland,4645779,3214633,1431146,425593,661516,198747,146253,2013
Massachusetts,5371252,3636347,1734905,432277,424978,176818,310577,2013
Michigan,7865350,4864014,3001336,683869,508848,202160,718926,2013
Minnesota,4212737,2961476,1251261,412313,337966,150303,372415,2013
Mississippi,2312959,1355687,957272,233221,230033,82510,154611,2013
Missouri,4755870,3059214,1696656,444850,368621,169016,318188,2013
Montana,801199,518296,282903,71904,87779,37617,22278,2013
Nebraska,1431428,1011281,420147,151328,137224,60905,101953,2013
Nevada,2143541,1414220,729321,214479,156931,79759,50594,2013
New Hampshire,1074477,743855,330622,79778,96394,47584,90367,2013
New Jersey,7028795,4677666,2351129,635941,605534,233339,369927,2013
New Mexico,1612730,979565,633165,163939,199982,62241,44362,2013
New York,15717283,10009187,5708096,1347514,1475189,506514,609013,2013
North Carolina,7622230,4850140,2772090,724660,650780,289134,534771,2013
North Dakota,553026,389669,163357,53415,62551,27317,26411,2013
Ohio,9170484,5859516,3310968,825206,689690,272474,799513,2013
Oklahoma,2950783,1834366,1116417,302362,293406,121090,164597,2013
Oregon,3106026,1961287,1144739,270169,251604,97305,194442,2013
Pennsylvania,10310404,6503761,3806643,845088,674532,339203,732754,2013
Rhode Island,859385,569175,290210,66007,66666,25595,57330,2013
South Carolina,3720700,2295655,1425045,341317,326305,132429,271686,2013
South Dakota,643377,444211,199166,67841,68074,26946,39562,2013
Tennessee,5078433,3140665,1937768,466141,407077,181938,357764,2013
Texas,19468136,12691031,6777105,2243691,1676911,914460,1083079,2013
Utah,2021139,1382365,638774,304646,204927,83448,137574,2013
Vermont,515484,348495,166989,36487,47799,23940,34391,2013
Virginia,6453616,4303611,2150005,595348,808507,253886,289956,2013
Washington,5416136,3526776,1889360,509460,522143,194995,332763,2013
West Virginia,1512388,826225,686163,118275,145721,49334,63532,2013
Wisconsin,4537877,3082381,1455496,412413,359154,151201,515649,2013
Wyoming,448295,309519,138776,46449,61511,22487,12563,2013
