State,ES_16above,ES_inlabor,ES_not_inlabor,ES_own_under6,ES_Gov,ES_Const,ES_Manuf,Year
Alabama,3864302,2238654,1625648,334610,326315,130941,286717,2016
Alaska,568732,400475,168257,62920,89119,25926,12882,2016
Arizona,5290839,3146717,2144122,500955,412226,191422,206492,2016
Arkansas,2339307,1364187,975120,217683,203687,83081,171816,2016
California,30565746,19391320,11174426,2894630,2390893,1055791,1697080,2016
Colorado,4245559,2897359,1348200,392734,366251,206654,185728,2016
Connecticut,2911925,1957060,954865,222908,234758,101497,190713,2016
Delaware,753039,474821,278218,64226,63012,27133,37747,2016
District of Columbia,554780,385056,169724,46751,85708,9863,4480,2016
Florida,16339299,9613594,6725705,1261710,1067720,598521,451950,2016
Georgia,7882965,4957087,2925878,766730,673366,285883,480335,2016
Hawaii,1137804,742161,395643,104447,135397,48305,19864,2016
Idaho,1251275,783014,468261,134724,111048,51380,71648,2016
Illinois,10206768,6697000,3509768,922788,746121,317245,763429,2016
Indiana,5185793,3316952,1868841,486069,332135,178680,579772,2016
Iowa,2459591,1664170,795421,230968,212987,98744,241775,2016
Kansas,2255916,1505247,750669,232622,221791,88942,178621,2016
Kentucky,3511065,2085433,1425632,310939,280611,113338,274015,2016
Louisiana,3654913,2209139,1445774,357590,306363,162181,159899,2016
Maine,1101688,696028,405660,76082,90274,44921,60195,2016
Maryland,4764901,3249911,1514990,426998,660843,200216,138256,2016
Massachusetts,5522235,3725838,1796397,425278,425646,189560,314483,2016
Michigan,7953581,4866369,3087212,664915,480977,220637,802506,2016
Minnesota,4311636,3012522,1299114,409990,335689,162856,388089,2016
Mississippi,2338750,1351797,986953,220667,221848,80313,162983,2016
Missouri,4823223,3055025,1768198,430783,350706,171678,326225,2016
Montana,822530,523599,298931,71610,87784,40566,22275,2016
Nebraska,1463872,1024737,439135,152456,136978,66226,105866,2016
Nevada,2248477,1443621,804856,209643,156668,79820,54565,2016
New Hampshire,1094783,746203,348580,76503,93187,49180,90220,2016
New Jersey,7143654,4699613,2444041,619250,587125,246350,359514,2016
New Mexico,1637594,966377,671217,156463,193969,60231,39147,2016
New York,15964950,10123078,5841872,1346255,1437157,520223,592969,2016
North Carolina,7907915,4948265,2959650,705222,652056,298071,552844,2016
North Dakota,585370,412931,172439,59186,63431,29721,26976,2016
Ohio,9255859,5857720,3398139,804928,665716,277035,841515,2016
Oklahoma,3025259,1861235,1164024,303691,292206,123310,170162,2016
Oregon,3219754,1995937,1223817,268468,253471,103772,208442,2016
Pennsylvania,10402780,6516915,3885865,831465,638880,343108,727257,2016
Rhode Island,868361,567285,301076,64278,64419,27707,57182,2016
South Carolina,3871553,2354372,1517181,333941,330192,134999,293796,2016
South Dakota,663635,455936,207699,69513,65727,30720,43188,2016
Tennessee,5222438,3193436,2029002,462419,407173,184849,382205,2016
Texas,20599223,13312277,7286946,2284549,1664327,991020,1105928,2016
Utah,2136930,1451339,685591,300336,202474,89593,148823,2016
Vermont,520197,344730,175467,35641,46098,24269,35666,2016
Virginia,6653111,4403124,2249987,592079,815796,262326,291635,2016
Washington,5647697,3623304,2024393,516781,533965,203901,350233,2016
West Virginia,1509212,812480,696732,116228,142031,46550,60035,2016
Wisconsin,4603725,3082186,1521539,399931,356573,155081,536806,2016
Wyoming,459198,311104,148094,44307,60759,22301,11406,2016
