State,total population,male,female,under_5yrs,5to9_yrs,10to14_yrs,15to19_yrs,60to64_yrs,65to74_yrs,75to84_yrs,85andover,median_age,18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,Year
Alabama,4712651,2285905,2426746,302659,310599,316989,344094,255880,353234,208147,73836,37.5,3580348,3293917,1232325,25814,51219,4712651,2146513,2010
Alaska,691189,358919,332270,51360,49481,51008,54336,31157,32019,14049,4086,33.8,506042,464150,22655,98120,36021,691189,298723,2010
Arizona,6246816,3108234,3138582,463060,440280,440109,452844,321460,462410,275989,94829,35.5,4633315,4883606,240655,278336,166663,6246816,2776037,2010
Arkansas,2872684,1408945,1463739,195486,196248,193662,205597,158059,223331,132685,49879,37.2,2166423,2253875,445197,19192,33327,2872684,1300449,2010
California,36637290,18223157,18414133,2545065,2483443,2609028,2803320,1671557,2135547,1366990,558059,34.9,27311961,22392713,2246311,283628,4747252,36637290,13552624,2010
Colorado,4887061,2448492,2438569,339998,338842,321321,340816,242098,283790,166186,65046,35.8,3684531,4082565,190598,47022,133134,4887061,2176600,2010
Connecticut,3545837,1724834,1821003,205479,225452,242245,253097,190158,240127,170085,81491,39.5,2718314,2795926,342764,7959,129904,3545837,1475657,2010
Delaware,881278,427218,454060,56010,56289,55899,64141,49641,67891,39455,15566,38.3,676009,626426,185253,3076,27914,881278,398866,2010
District of Columbia,584400,276101,308299,32422,26098,26670,43697,28237,35237,22257,9614,34.3,481310,222375,309048,1625,20323,584400,293492,2010
Florida,18511620,9050155,9461465,1080506,1070056,1131854,1232511,1063591,1633014,1088540,412551,40.3,14498530,14115228,2900412,54570,444584,18511620,8863057,2010
Georgia,9468815,4626914,4841901,688521,682255,671694,712883,450571,560765,301379,109207,35,7006337,5788255,2873069,23234,296986,9468815,4020736,2010
Hawaii,1333591,668202,665389,86581,79132,82500,86133,76701,93796,65261,27343,38.2,1032863,333842,21170,3506,525848,1333591,512157,2010
Idaho,1526797,764429,762368,119166,115663,114730,115695,76168,100821,58713,23474,34.4,1107585,1407354,8674,18951,17939,1526797,652323,2010
Illinois,12745359,6250352,6495007,845118,864101,883895,931708,607850,810679,531375,226146,36.2,9591900,9136680,1860305,24729,571537,12745359,5267614,2010
Indiana,6417398,3155214,3262184,434204,443320,449556,475672,320517,429621,278296,107389,36.6,4810327,5461258,572352,14487,96189,6417398,2778459,2010
Iowa,3016267,1488998,1527269,197946,198100,200290,219572,154176,217428,157937,71265,38,2292276,2773410,82682,9825,50363,3016267,1327302,2010
Kansas,2809329,1391010,1418319,199200,198693,196108,206928,136383,181828,127650,58339,36.1,2093788,2391786,161768,24422,66119,2809329,1222749,2010
Kentucky,4285828,2105483,2180345,278301,279743,285142,298415,230003,310316,181376,68342,37.7,3265915,3792514,330764,8794,45604,4285828,1911822,2010
Louisiana,4429940,2165456,2264484,304940,303240,303186,329393,225802,295926,177084,64086,35.9,3324823,2819074,1405685,27352,67210,4429940,1910036,2010
Maine,1327665,649666,677999,69865,74198,82679,91736,82241,106101,69931,27131,42,1046178,1268805,13903,7002,13432,1327665,714270,2010
Maryland,5696423,2754058,2942365,365093,365680,382067,412041,293074,362224,225847,89209,37.6,4334331,3396216,1665235,16213,304574,5696423,2354870,2010
Massachusetts,6477096,3132249,3344847,368326,389481,408047,469182,342599,430413,308818,137366,38.7,5045148,5289078,422303,12584,335906,6477096,2786077,2010
Michigan,9952687,4884438,5068249,614482,652979,700117,760339,521413,685746,451608,179638,38.1,7531713,7895340,1401616,54502,242886,9952687,4529680,2010
Minnesota,5241914,2601448,2640466,352610,346028,357759,374975,254962,333857,224682,99624,37.1,3959836,4539826,257165,55370,204202,5241914,2327948,2010
Mississippi,2941991,1427843,1514148,208491,206547,209075,227474,148502,206020,119449,43868,35.8,2184616,1761910,1088270,13610,24691,2941991,1255090,2010
Missouri,5922314,2895638,3026676,386777,385737,401187,429731,311037,429122,272996,110606,37.6,4494462,4938222,679062,22829,92147,5922314,2687610,2010
Montana,973739,487959,485780,59722,60375,61681,69519,56972,74844,47290,17749,39.7,750700,874571,4325,60135,6091,973739,471723,2010
Nebraska,1799125,890558,908567,129410,124332,122433,130360,87611,118157,85475,37154,36.2,1345794,1587857,77986,15651,29624,1799125,788218,2010
Nevada,2633331,1331625,1301706,188595,180286,178081,177337,142471,182624,92580,27835,35.9,1976219,1938033,207567,28403,183979,2633331,1140555,2010
New Hampshire,1313939,648504,665435,72297,79072,87413,96564,75034,90530,56693,23108,40.3,1017987,1241539,14186,2835,27754,1313939,607758,2010
New Jersey,8721577,4244502,4477075,547150,568845,588365,601440,448896,584648,403954,166969,38.5,6640037,6074010,1176241,19683,697788,8721577,3529033,2010
New Mexico,2013122,992833,1020289,143300,138933,139790,151222,109310,144639,83437,30312,36.4,1500649,1433955,39935,188217,27463,2013122,887890,2010
New York,19229752,9300854,9928898,1158665,1169730,1239565,1381069,988062,1305079,882458,367791,37.7,14846155,12764402,2990591,66876,1392380,19229752,8050835,2010
