State,total population,male,female,under_5yrs,5to9_yrs,10to14_yrs,15to19_yrs,60to64_yrs,65to74_yrs,75to84_yrs,85andover,median_age,18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,Year
North Carolina,9271178,4519289,4751889,621871,618644,616451,652659,495548,650646,382077,135049,37.1,7032968,6453727,1980942,106026,194993,9271178,4229552,2010
North Dakota,659858,332932,326926,41792,39107,40160,49388,33005,45490,34129,16391,37.2,512138,597392,7034,34798,6132,659858,312861,2010
Ohio,11512431,5616436,5895995,724665,756841,783842,837193,607710,816342,550734,217623,38.3,8746158,9598726,1391240,22785,186464,11512431,5107273,2010
Oklahoma,3675339,1816749,1858590,256624,252493,248104,266519,189709,268716,162459,60247,36.3,2762318,2720135,267179,259809,61581,3675339,1644228,2010
Oregon,3761925,1862256,1899669,234201,236176,240004,256410,212588,267055,166559,74151,38.1,2898286,3220250,66427,60612,135518,3761925,1651063,2010
Pennsylvania,12612705,6138935,6473770,727275,760165,801981,920864,684262,941515,699379,285963,39.8,9791063,10460096,1347052,18205,332435,12612705,5537308,2010
Rhode Island,1056389,509859,546530,58920,61968,65819,80967,55532,70663,54359,24938,38.9,826217,866678,62082,4521,30991,1056389,460734,2010
South Carolina,4511428,2195677,2315751,295906,289115,295992,328669,256994,342658,187779,64999,37.4,3442167,3034000,1269484,14095,54288,4511428,2088161,2010
South Dakota,799462,400246,399216,56494,52311,55942,58766,38734,54959,40515,18571,37.2,600119,692330,8874,68215,7126,799462,357725,2010
Tennessee,6234968,3039629,3195339,403467,408594,416696,434219,343831,458162,262331,94257,37.6,4747088,4910745,1037376,15237,87257,6234968,2769457,2010
Texas,24311891,12058770,12253121,1903554,1846029,1811920,1849088,1070821,1374422,802838,289382,33.4,17639656,17503446,2864666,119680,904831,24311891,9718470,2010
Utah,2657236,1334860,1322376,255012,234887,216634,217112,97531,128560,78308,28429,28.8,1823488,2375876,27030,30831,53046,2657236,952370,2010
Vermont,624258,307670,316588,32255,34841,39033,47481,37238,46093,29711,11433,41,491759,596947,5494,1832,7396,624258,319364,2010
Virginia,7841754,3849352,3992402,506249,497931,512922,559524,410242,514397,302445,112336,37.2,6001677,5479975,1532150,24941,416549,7841754,3315739,2010
Washington,6561297,3267488,3293809,426450,420676,435749,462561,347427,418455,254171,107951,37,5000516,5199167,229885,95212,457771,6561297,2829352,2010
West Virginia,1840802,904625,936177,103758,103585,111795,121975,112679,157038,98962,35162,41.1,1451332,1734615,58968,3139,11482,1840802,879481,2010
Wisconsin,5637947,2795908,2842039,354854,363688,381651,406695,283930,379813,262762,112293,38.1,4294354,4914551,348662,49189,122442,5637947,2593073,2010
Wyoming,545579,277850,267729,37268,36345,34890,38760,29693,36699,21613,8060,37,414429,498326,4135,12786,4138,545579,255096,2010
