State,Male_household_nofamily,None_Family_household,Householder_living_alone,Household_people_under18,Population_in_household,Relationship_child,Never_Married,Divorced,Kindergarten,12grade_nodiploma,Some_college_no_degree,Grade_professional_degree,Naturalised_US_citizen,Not_US_citizen,Year
Mississippi,52810,338790,295119,382104,2883757,921830,396041,123460,46825,231716,436007,139885,22384,44198,2013
Missouri,99123,819277,680592,739531,5833105,1710179,756505,258374,80575,333872,912460,391426,100536,133029,2013
Montana,17244,149614,121932,113638,969761,258884,127587,47675,13143,37229,170943,60638,10451,9241,2013
Nebraska,29557,253997,209345,231899,1790194,527431,231769,67043,26278,64633,289687,110466,40566,76064,2013
Nevada,61693,351626,272648,335328,2693904,804912,384988,140782,36351,166473,472954,137329,225718,296213,2013
New Hampshire,21180,172095,133028,157616,1278723,355875,167249,56761,14759,49712,175214,113132,37070,34488,2013
New Jersey,152868,979835,824045,1104442,8645670,2795924,1266451,237157,118092,385198,1024284,815429,957247,911565,2013
New Mexico,43614,263481,217781,248704,2026860,637544,290107,91767,28201,121550,321325,149149,68603,134929,2013
New York,356305,2597194,2128968,2295527,18901364,5839712,3091580,547049,238854,1061006,2163527,1895278,2270762,2043941,2013
North Carolina,163103,1242677,1033896,1213257,9395519,2780792,1246210,345896,130853,599537,1405290,592958,230761,500007,2013
North Dakota,11014,111632,89496,80813,664047,176134,100741,25160,9172,20889,107155,34066,6542,12027,2013
Ohio,197510,1608241,1348872,1407968,11237268,3349716,1522863,488296,148294,640684,1610416,720641,228494,232845,2013
Oklahoma,69239,482613,405987,478108,3675359,1092571,451104,178423,56618,221671,595862,190572,69263,139764,2013
Oregon,67015,549488,421168,453536,3781602,1036496,509551,177842,48136,173756,711019,290383,145722,233939,2013
Pennsylvania,211068,1746381,1462305,1456320,12302669,3615520,1807674,420606,147963,666587,1435690,931539,389609,370228,2013
Rhode Island,18839,152979,124767,122585,1009708,293933,161524,39421,11182,58828,130755,88877,69247,68712,2013
South Carolina,79230,581400,490121,569721,4540383,1344236,628326,170164,72289,312216,651510,280089,78031,147292,2013
South Dakota,14007,113749,94358,101011,791231,226543,107486,33681,11188,28594,119234,42311,8680,14375,2013
Tennessee,109210,820616,694662,792503,6249085,1830324,779963,290422,82681,410057,907130,366520,103642,192749,2013
Texas,447557,2679716,2206158,3416037,25053229,8322527,3374368,913997,417271,1511267,3654061,1435463,1396701,2791229,2013
Utah,36740,220816,171944,379327,2767206,1028305,327323,83994,50054,97839,444913,159985,80391,150978,2013
Vermont,10457,95729,72895,71606,600630,153848,87124,27729,6716,24298,74867,59782,15071,10519,2013
Virginia,126645,985378,798775,1002271,7859322,2323502,1097548,271892,107273,405313,1091965,797164,434927,482627,2013
Washington,116960,931240,727991,832600,6678662,1920360,923915,287515,86579,271071,1147528,525994,411667,486424,2013
West Virginia,32211,258023,221797,206805,1804114,496013,228750,92665,20807,132649,239787,91477,12279,14062,2013
Wisconsin,97563,819189,659591,691271,5557806,1598697,773421,222885,89130,238713,809942,347418,112850,153641,2013
Wyoming,9489,75828,61218,69497,556247,156978,69781,27074,7446,20769,103766,30861,6538,12044,2013
