State,Male_household_nofamily,None_Family_household,Householder_living_alone,Household_people_under18,Population_in_household,Relationship_child,Never_Married,Divorced,Kindergarten,12grade_nodiploma,Some_college_no_degree,Grade_professional_degree,Naturalised_US_citizen,Not_US_citizen,Year
Alabama,77284,596997,522010,592093,4683880,1418049,596005,210491,64170,358529,703243,264299,53829,114403,2013
Alaska,14272,82532,64046,92325,693856,223837,109325,32370,10020,24142,130962,44487,26990,23385,2013
Arizona,124962,807168,642974,775045,6335998,1928352,899394,269532,88759,334656,1094505,415001,325061,544807,2013
Arkansas,50723,366842,312753,366052,2852772,839575,337147,136750,40164,197050,433799,132160,39680,93717,2013
California,742821,3938638,3040221,4613728,36843355,11869789,5891713,1193182,517658,2085785,5404742,2747589,4790971,5384868,2013
Colorado,85712,708155,556054,639803,5002024,1449694,701503,206649,69107,194797,773730,455393,182108,313412,2013
Connecticut,57399,452272,374214,442362,3464102,1065534,509794,125632,43010,155272,431469,392796,232348,254839,2013
Delaware,15997,108923,87908,107386,883681,264022,124617,34151,11352,49343,121907,71429,34372,42391,2013
District of Columbia,9784,151371,119573,54704,579281,134994,144324,21123,7087,30899,61310,127642,33886,51343,2013
Florida,320254,2529227,2063572,2050375,18666285,5362889,2616365,867709,222951,1109845,2799815,1261975,1872035,1826711,2013
Georgia,164892,1118001,933730,1260842,9550824,3046597,1333292,366212,146779,601126,1333987,645954,353977,596693,2013
Hawaii,24811,137713,107299,151659,1333167,383814,208714,47411,17914,48495,209554,96113,139956,106779,2013
Idaho,24939,175151,138724,204546,1554097,491156,175967,67085,23453,68249,271575,78516,33010,60794,2013
Illinois,216198,1636361,1365430,1576110,12547643,3968624,1866082,429419,170948,603512,1810007,1017849,818967,955759,2013
Indiana,109905,826197,688283,816085,6327145,1931864,827389,286021,87241,365926,891274,355626,107555,200505,2013
Iowa,48776,431273,353057,374573,2963009,841108,382112,120093,41459,110553,440519,162199,52095,84966,2013
Kansas,48278,380833,315010,365786,2788981,837415,350649,117326,42197,112449,452591,196429,64588,126512,2013
Kentucky,78364,557420,473591,549346,4235109,1236896,526588,203758,59122,285453,599340,255935,50530,93159,2013
Louisiana,84210,575369,486370,577902,4440185,1391921,648151,187749,64413,334851,639343,216649,71211,104788,2013
Maine,23050,203618,160165,151002,1292726,329137,163965,66540,14279,53077,189295,94559,25130,20155,2013
Maryland,100655,707971,580761,727895,5694032,1745559,832088,185775,76704,270755,773864,654896,380601,434148,2013
Massachusetts,102042,923065,733952,782100,6359763,1885565,999903,206749,81856,260180,743847,770052,500860,490848,2013
Michigan,169828,1312337,1097524,1187100,9658274,2959171,1366227,406504,130076,506432,1582702,660288,301523,302714,2013
Minnesota,87738,736820,592049,667061,5211939,1528957,726011,185467,70945,167413,796062,380224,181860,210177,2013
