State,total population,male,female,under_5yrs,5to9_yrs,10to14_yrs,15to19_yrs,60to64_yrs,65to74_yrs,75to84_yrs,85andover,median_age,18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,Year
North Carolina,10155624,4944759,5210865,603193,635346,658696,676295,618435,941889,458679,170430,38.6,7863008,6994240,2179622,121352,282264,10155624,4573066,2018
North Dakota,752201,386183,366018,52820,50637,44289,47651,45061,58728,33322,17860,35.1,578483,655268,20445,39462,10814,752201,367684,2018
Ohio,11641879,5703967,5937912,695933,713523,747709,772199,765841,1080641,560148,252072,39.3,9023711,9489832,1438271,23563,249741,11641879,5188270,2018
Oklahoma,3918137,1941576,1976561,263992,267805,269193,262995,230875,341463,179516,68251,36.4,2959431,2837772,287959,294676,83392,3918137,1723230,2018
Oregon,4081943,2023021,2058922,231927,242619,245569,246092,276903,411976,187308,83262,39.2,3213765,3445933,77789,46961,174510,4081943,1750539,2018
Pennsylvania,12791181,6263189,6527992,709250,727174,764823,826326,862564,1236019,669591,324251,40.7,10115851,10341442,1423319,24847,427892,12791181,5673599,2018
Rhode Island,1056611,513332,543279,54587,57535,58943,73378,69313,96800,50433,26977,39.9,847742,854502,69254,5484,35663,1056611,467412,2018
South Carolina,4955925,2405726,2550199,290090,307410,312273,323640,321035,510667,233843,84573,39.2,3859674,3332986,1339360,16686,75084,4955925,2256951,2018
South Dakota,864289,435761,428528,60407,59990,59016,57056,55477,76582,39962,20264,36.8,651223,730062,16241,75331,12660,864289,387637,2018
Tennessee,6651089,3243678,3407411,403591,412789,427445,424822,415781,625727,306901,112585,38.7,5149695,5166231,1117489,17848,112915,6651089,2930530,2018
Texas,27885195,13849775,14035420,1998869,2028151,2057414,1987192,1445748,2000715,971168,365931,34.4,20592509,20720689,3365783,136061,1308257,27885195,10769900,2018
Utah,3045350,1532768,1512582,252865,261429,257411,237276,139638,190544,94676,35049,30.7,2126301,2632056,35862,32657,69810,3045350,1066131,2018
Vermont,624977,307973,317004,29676,32524,33950,43222,47208,68256,31606,13688,42.9,506631,589546,8058,2106,10579,624977,333013,2018
Virginia,8413774,4138574,4275200,509955,519276,522823,547867,508806,732740,354161,143345,38.1,6546347,5722660,1613285,22972,531503,8413774,3491091,2018
Washington,7294336,3645665,3648671,453008,462578,447295,444352,454466,650487,294553,128459,37.6,5661461,5545997,269854,95048,607429,7294336,3064381,2018
West Virginia,1829054,904196,924858,99291,102100,107044,110333,133367,202712,101860,40147,42.4,1455681,1704345,66728,3668,14534,1829054,890715,2018
Wisconsin,5778394,2872376,2906018,335920,357753,370491,381105,379491,527368,271312,126015,39.3,4489451,4945966,368744,50422,159356,5778394,2681232,2018
Wyoming,581836,296979,284857,37270,39680,38940,36734,40114,52876,25287,9614,37.3,444117,532008,5540,14053,4756,581836,274985,2018
