State,total population,male,female,under_5yrs,5to9_yrs,10to14_yrs,15to19_yrs,60to64_yrs,65to74_yrs,75to84_yrs,85andover,median_age,18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,Year
Alabama,4864680,2355799,2508881,292125,302174,312093,323914,309004,463057,237339,83436,38.9,3765887,3317453,1293186,25576,64609,4864680,2244462,2018
Alaska,738516,385579,352937,54240,52628,49721,47451,43853,53366,18815,6247,34,552378,478834,24129,106660,46556,738516,315386,2018
Arizona,6946685,3453439,3493246,436102,452832,467267,468197,408828,674235,355536,128549,37.4,5312902,5364141,305259,309580,228887,6946685,2970935,2018
Arkansas,2990671,1468412,1522259,190311,197784,197795,201068,181928,284024,147254,56258,37.9,2284728,2302874,460970,20037,43988,2990671,1362040,2018
California,39148760,19453769,19694991,2480679,2499319,2556669,2583578,2192477,3061431,1552456,701570,36.3,30075105,23529068,2267875,296475,5604339,39148760,14084824,2018
Colorado,5531141,2780831,2750310,335199,355399,359334,354630,331165,455831,201744,83063,36.6,4271322,4655584,227938,54483,172695,5531141,2352202,2018
Connecticut,3581504,1747131,1834373,184983,201006,224135,247182,235949,327414,170979,89187,40.8,2828879,2734880,378262,9698,158817,3581504,1512305,2018
Delaware,949495,459570,489925,54854,55166,58676,59798,61626,99666,49025,18438,40.2,746069,654905,209892,3455,36723,949495,428251,2018
District of Columbia,684498,324881,359617,44692,33728,27563,37417,33464,46920,23836,10956,33.9,562761,280469,321317,1993,26718,684498,311545,2018
Florida,20598139,10071925,10526214,1117420,1131739,1176979,1201106,1314377,2247594,1280841,535941,41.9,16449587,15529098,3316376,58118,559168,20598139,9348689,2018
Georgia,10297484,5012229,5285255,655810,697132,718143,721206,578604,835224,383686,133379,36.5,7796189,6079976,3239300,33484,402501,10297484,4241003,2018
Hawaii,1422029,713772,708257,90388,85114,83667,77674,89919,139078,68144,38733,38.9,1115528,355612,26266,2987,536842,1422029,539053,2018
Idaho,1687809,845564,842245,114164,123365,126996,120633,101489,153600,72416,27785,36.1,1248633,1527262,11536,22790,23758,1687809,711731,2018
Illinois,12821497,6295915,6525582,776957,802346,836956,847578,780783,1079625,561726,253552,37.9,9894936,9189185,1824125,31864,690822,12821497,5347268,2018
Indiana,6637426,3271068,3366358,418299,437254,446006,458348,411619,577695,291994,126374,37.6,5063133,5548277,619472,14925,144991,6637426,2870670,2018
Iowa,3132499,1554481,1578018,197430,204026,206158,214740,200535,279689,156706,76917,38.1,2402467,2827889,109911,11549,75083,3132499,1386722,2018
Kansas,2908776,1449413,1459363,194202,201400,200793,200544,177387,245020,130787,61970,36.5,2193231,2460619,169801,24050,83531,2908776,1266378,2018
Kentucky,4440204,2186715,2253489,274440,280088,284645,290396,279311,411700,202345,77464,38.7,3428185,3866676,354112,9888,62802,4440204,1974406,2018
Louisiana,4663616,2279968,2383648,309339,309094,306416,301500,287507,402615,198533,75559,36.6,3555142,2901106,1502916,26272,79872,4663616,2045554,2018
Maine,1332813,652299,680514,64437,70701,72678,79747,101153,152428,73415,33333,44.6,1078152,1259217,17881,8302,14917,1332813,739077,2018
Maryland,6003435,2910323,3093112,366174,372643,375912,384501,371549,513610,253229,108498,38.6,4659258,3373181,1788090,15644,374277,6003435,2437740,2018
Massachusetts,6830193,3313979,3516214,362681,369390,397457,459381,433667,611755,311380,155089,39.4,5450296,5360006,510558,14493,442574,6830193,2882739,2018
Michigan,9957488,4899118,5058370,572374,596594,630042,669114,667775,943253,471583,206108,39.7,7761390,7818588,1375424,53235,304403,9957488,4580939,2018
Minnesota,5527358,2751748,2775610,351740,363928,361496,356498,343969,470691,243085,116336,37.9,4235751,4606044,342186,58982,262359,5527358,2420473,2018
Mississippi,2988762,1450379,1538383,188575,200574,207354,212886,182350,265521,135296,48661,37.2,2268454,1751193,1125834,13689,28313,2988762,1316108,2018
Missouri,6090062,2988772,3101290,372932,381583,392635,396819,387303,561486,295894,124312,38.5,4704999,5008342,704896,26952,116720,6090062,2775635,2018
Montana,1041732,524220,517512,61810,63541,64227,64452,76419,109771,52951,21101,39.8,814140,925642,4630,67289,7947,1041732,505685,2018
Nebraska,1904760,949910,954850,131812,132290,131959,129350,114929,159053,85697,41330,36.4,1432242,1666463,90860,17282,44105,1904760,830749,2018
Nevada,2922849,1467165,1455684,182311,188965,190632,177213,174085,273123,125259,39669,37.9,2248373,1935103,261123,35845,234693,2922849,1235096,2018
New Hampshire,1343622,664983,678639,64079,72003,76609,88652,95512,135715,62907,29362,42.7,1081059,1250014,20516,2090,36124,1343622,630955,2018
New Jersey,8881845,4335930,4545915,521684,540335,562668,565170,551339,772545,406646,197672,39.8,6908443,6031747,1196764,18649,832403,8881845,3605401,2018
New Mexico,2092434,1035850,1056584,128357,137860,143893,140188,132632,202928,101037,37550,37.5,1598270,1558886,43006,199896,31513,2092434,932818,2018
New York,19618453,9519555,10098898,1163606,1121174,1146521,1224760,1212727,1719566,910812,438311,38.7,15476820,12514949,3068099,79644,1630341,19618453,8287087,2018
