State,ES_16above,ES_inlabor,ES_not_inlabor,ES_own_under6,ES_Gov,ES_Const,ES_Manuf,Year
Alabama,3828799,2253005,1575794,341695,335663,133297,276563,2014
Alaska,560680,396856,163824,63129,89935,26569,12559,2014
Arizona,5121781,3076534,2045247,510658,413670,180682,201880,2014
Arkansas,2315782,1372077,943705,222898,209113,81997,169189,2014
California,29934838,19108876,10825962,2919581,2384745,999219,1668032,2014
Colorado,4094922,2811701,1283221,395959,365945,188693,180757,2014
Connecticut,2895925,1962119,933806,229399,236919,97974,191057,2014
Delaware,734886,469071,265815,64278,62984,25763,39704,2014
District of Columbia,536771,367510,169261,42838,84600,9964,3910,2014
Florida,15817611,9415088,6402523,1247434,1074790,541489,438566,2014
Georgia,7693577,4868842,2824735,778876,665708,274485,457141,2014
Hawaii,1118419,731400,387019,101822,135662,44775,19694,2014
Idaho,1216172,768276,447896,137288,112870,49880,69685,2014
Illinois,10170489,6718857,3451632,945810,772662,308760,756747,2014
Indiana,5131317,3288362,1842955,493580,339441,170233,557011,2014
Iowa,2434242,1653714,780528,231585,216204,95899,233193,2014
Kansas,2236421,1507003,729418,237515,227505,86964,175547,2014
Kentucky,3476701,2079258,1397443,316543,286821,110690,256824,2014
Louisiana,3610029,2206928,1403101,359102,318409,161201,160428,2014
Maine,1095219,700142,395077,76958,92635,44325,59808,2014
Maryland,4695768,3233680,1462088,426037,665509,197720,142983,2014
Massachusetts,5427407,3667612,1759795,429904,424305,180968,309972,2014
Michigan,7893971,4852108,3041863,676685,497231,204227,746413,2014
Minnesota,4247699,2976014,1271685,411125,339841,150168,377310,2014
Mississippi,2323223,1356974,966249,230117,229169,80532,156738,2014
Missouri,4781853,3054519,1727334,439298,363428,164707,315481,2014
Montana,807917,519814,288103,72362,87041,38339,21844,2014
Nebraska,1442692,1016841,425851,151013,137885,62076,102662,2014
Nevada,2175721,1415924,759797,211691,156223,75361,51165,2014
New Hampshire,1080795,742731,338064,78753,95286,49247,88217,2014
New Jersey,7080181,4695156,2385025,632042,599894,235821,366432,2014
New Mexico,1625155,977579,647576,162926,200030,60090,43074,2014
New York,15832743,10054448,5778295,1350548,1457151,507377,602516,2014
North Carolina,7717630,4879118,2838512,719787,651270,284986,535084,2014
North Dakota,563755,397250,166505,54975,64439,28185,26135,2014
Ohio,9197668,5848381,3349287,817363,680889,272867,814097,2014
Oklahoma,2977835,1843140,1134695,303284,292127,120100,167846,2014
Oregon,3139152,1961375,1177777,268239,252417,96374,196950,2014
Pennsylvania,10351296,6508402,3842894,840107,662495,339420,725132,2014
Rhode Island,862851,568439,294412,65515,66835,26294,56078,2014
South Carolina,3768421,2306384,1462037,338576,328304,132328,278072,2014
South Dakota,651429,450131,201298,68363,68027,27615,41144,2014
Tennessee,5125250,3149077,1976173,463216,406890,181046,367255,2014
Texas,19858082,12889163,6968919,2254839,1687779,921062,1095393,2014
Utah,2057591,1399952,657639,303278,204347,83313,140848,2014
Vermont,517411,347486,169925,36404,48213,24128,34889,2014
Virginia,6531424,4338606,2192818,596307,819121,253932,289872,2014
Washington,5488038,3551870,1936168,512540,525704,192873,335573,2014
West Virginia,1513749,821389,692360,117982,144903,47516,61657,2014
Wisconsin,4561244,3076311,1484933,407101,358177,149901,524097,2014
Wyoming,453096,310018,143078,45251,62036,22286,12011,2014
