State,total population,male,female,under_5yrs,5to9_yrs,10to14_yrs,15to19_yrs,60to64_yrs,65to74_yrs,75to84_yrs,85andover,median_age,18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,Year
Alabama,4850771,2350806,2499965,292163,303938,313308,324606,303593,448837,230226,82969,38.7,3748089,3317702,1287167,25098,62815,4850771,2231126,2017
Alaska,738565,386319,352246,54267,51824,50321,48153,42707,50640,17779,5921,33.9,552319,481971,23702,104995,45604,738565,313937,2017
Arizona,6809946,3385055,3424891,434757,454885,458293,462339,396326,644932,336809,124621,37.2,5187520,5277661,292831,300182,213417,6809946,2941894,2017
Arkansas,2977944,1461651,1516293,190144,199627,196449,200553,179385,277145,143772,55250,37.9,2272226,2302141,459969,19476,42368,2977944,1353745,2017
California,38982847,19366579,19616268,2493545,2526231,2543419,2609110,2143851,2946809,1509528,692111,36.1,29868127,23607242,2263222,292018,5503672,38982847,13996299,2017
Colorado,5436519,2731315,2705204,334250,353481,357253,348183,323800,432280,194990,80126,36.5,4185186,4576201,221155,51406,164771,5436519,2319737,2017
Connecticut,3594478,1754046,1840432,186188,206536,225831,249777,229788,318515,167133,90109,40.8,2831746,2757064,376240,9385,156450,3594478,1507711,2017
District of Columbia,672391,319046,353345,43607,33366,25534,37168,33257,45582,23058,11129,33.9,554333,273471,321062,1757,25558,672391,308161,2017
Delaware,943732,456876,486856,55282,56310,57714,60135,60167,95605,46641,18319,39.8,739679,652170,206290,3482,36553,943732,423489,2017
Florida,20278447,9914361,10364086,1105362,1126805,1160129,1194267,1273243,2169519,1234840,522530,41.8,16166865,15343997,3270863,56730,543394,20278447,9259684,2017
Georgia,10201635,4968887,5232748,657428,700383,714800,715326,562724,802397,368614,129419,36.4,7702432,6061821,3195268,30552,388946,10201635,4203288,2017
Hawaii,1421658,713981,707677,91417,84608,84030,78077,88752,133674,66599,37853,38.8,1114075,357308,25884,2756,540556,1421658,535543,2017
Idaho,1657375,830627,826748,114112,122893,125020,117877,99699,146059,69240,27150,35.9,1222764,1507880,11231,21323,22720,1657375,701196,2017
Illinois,12854526,6312600,6541926,785560,815494,843048,855867,766701,1045472,549583,252877,37.7,9895529,9236701,1833501,29696,671811,12854526,5334847,2017
Indiana,6614418,3258279,3356139,418329,440339,446271,458738,400651,557797,284157,126614,37.5,5036563,5546787,613060,15027,137680,6614418,2855378,2017
Iowa,3118102,1548035,1570067,196485,205125,204737,215037,197150,269334,153914,77778,38.1,2389398,2824197,106762,10791,71178,3118102,1376133,2017
Kansas,2903820,1445980,1457840,196826,204193,198652,200120,174139,235841,128388,62044,36.3,2185546,2465518,168470,23503,80738,2903820,1259647,2017
Kentucky,4424376,2179025,2245351,274140,281151,284907,288717,275244,398816,197081,76809,38.6,3411784,3862600,353088,9324,59593,4424376,1965202,2017
Maine,1330158,651040,679118,64394,71858,73071,81002,98646,145926,72436,31769,44.3,1073331,1258918,16906,8212,14804,1330158,735711,2017
Louisiana,4663461,2281239,2382222,310431,312736,305492,303450,280980,388168,193008,74672,36.4,3550728,2909599,1500648,27094,80980,4663461,2031064,2017
Massachusetts,6789319,3293426,3495893,362855,371193,398770,459799,422234,589388,305023,155340,39.4,5405787,5358373,499774,14336,426225,6789319,2864989,2017
Maryland,5996079,2906277,3089802,366750,373293,376807,387809,362734,496864,243831,108490,38.5,4648466,3395212,1782256,16281,373065,5996079,2427014,2017
Michigan,9925568,4880579,5044989,571999,601601,634551,674265,652286,909353,459497,206383,39.6,7717047,7813199,1374515,51804,289082,9925568,4568200,2017
Minnesota,5490726,2731831,2758895,349962,362905,359707,356614,336345,451386,237556,114776,37.9,4204388,4598252,326953,57566,255935,5490726,2404624,2017
Mississippi,2986220,1448717,1537503,190855,204574,206966,212377,177837,257630,131156,48241,36.9,2259919,1755471,1122576,13258,28859,2986220,1308259,2017
