State,total population,male,female,under_5yrs,5to9_yrs,10to14_yrs,15to19_yrs,60to64_yrs,65to74_yrs,75to84_yrs,85andover,median_age,18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,Year
Missouri,6075300,2981332,3093968,373141,384484,393177,398602,377806,544197,288729,123106,38.4,4685891,5004537,703061,25933,112959,6075300,2763250,2017
Montana,1029862,517860,512002,61218,64409,62752,64393,74348,104273,51010,20855,39.8,803704,916664,4438,66865,7448,1029862,501099,2017
Nebraska,1893921,943547,950374,130827,132758,130437,129066,112761,152726,85016,40856,36.3,1424102,1663612,89718,16012,42208,1893921,824176,2017
New Hampshire,1331848,659131,672717,64233,72965,76603,88725,93279,129717,61133,28443,42.7,1067991,1244260,18632,2148,33313,1331848,627619,2017
Nevada,2887725,1450091,1437634,181207,190112,186824,176996,168998,262946,118088,39296,37.7,2217723,1936453,253013,32426,232502,2887725,1220422,2017
New Jersey,8960161,4372321,4587840,526716,547575,571455,575048,538598,755476,399788,198735,39.6,6960340,6085474,1207356,18006,844105,8960161,3595055,2017
New Mexico,2084828,1032086,1052742,131062,140361,142616,139735,131093,194658,97707,36317,37.3,1587101,1547843,42187,197191,29991,2084828,927790,2017
New York,19798228,9604111,10194117,1176877,1140985,1159505,1254505,1193182,1675514,895023,437814,38.4,15594924,12638791,3100685,77130,1652846,19798228,8255911,2017
North Carolina,10052564,4895368,5157196,603983,640808,653323,665055,600397,904811,443367,166759,38.4,7762882,6937466,2159427,117998,269164,10052564,4521697,2017
North Dakota,745475,382121,363354,51766,49080,43801,47905,44059,56390,33235,17571,35.1,575105,654024,17365,39507,10197,745475,360660,2017
Ohio,11609756,5686081,5923675,695704,721139,747158,774385,749115,1044159,548223,252260,39.3,8982588,9503779,1428230,21872,235878,11609756,5174838,2017
Oklahoma,3896251,1930615,1965636,265113,269426,265580,260565,225929,331975,175838,66517,36.3,2939976,2828569,283821,289871,80670,3896251,1712841,2017
Oregon,4025127,1993822,2031305,231854,242780,242234,245601,273843,392682,179433,82974,39.2,3160871,3416776,76347,45332,166351,4025127,1733041,2017
Pennsylvania,12790505,6260160,6530345,711647,736583,763267,834335,846032,1195873,659750,325399,40.7,10101588,10378174,1417611,24995,417525,12790505,5653599,2017
Rhode Island,1056138,512581,543557,54571,56675,61119,73590,67549,93339,49153,27652,39.9,845556,854801,68346,5413,35556,1056138,466670,2017
South Carolina,4893444,2376759,2516685,289964,309396,306139,322182,314636,489068,223628,82560,39,3802489,3292598,1332110,14992,71994,4893444,2229324,2017
South Dakota,855444,430587,424857,60212,60424,57249,56282,54278,72564,39732,19822,36.8,644483,724430,14698,74062,11693,855444,382912,2017
Tennessee,6597381,3217073,3380308,402578,414561,424276,422264,406303,605154,297881,110321,38.6,5099734,5131786,1107392,17568,110605,6597381,2903199,2017
Texas,27419612,13616977,13802635,1981850,2026889,2015877,1956315,1402557,1915612,940462,359832,34.3,20206495,20459525,3286950,130360,1236852,27419612,10611386,2017
Utah,2993941,1506614,1487327,254014,260897,253015,231802,135387,181190,91294,34611,30.5,2082530,2600077,33619,32079,67545,2993941,1046597,2017
Vermont,624636,308026,316610,29829,33012,34463,43438,46638,65301,30801,13449,42.8,504856,590499,7921,2072,9680,624636,331106,2017
Virginia,8365952,4113988,4251964,509922,522148,519554,547684,497510,706482,340671,140714,38,6499678,5720209,1605447,22499,520119,8365952,3466921,2017
West Virginia,1836843,907621,929222,101045,103690,106697,110575,132974,196401,100401,39524,42.2,1459974,1714591,65300,3322,14096,1836843,889277,2017
Washington,7169967,3580888,3589079,448145,456291,442413,441695,444689,619386,282777,126877,37.6,5554591,5500837,261743,94754,578822,7169967,3025516,2017
Wyoming,583200,298301,284899,37457,40669,38297,36824,39345,50406,24025,9808,37,444842,532394,6121,13549,5102,583200,273088,2017
Wisconsin,5763217,2864115,2899102,337472,361656,370200,382117,370515,505120,265453,126151,39.2,4469267,4950577,365884,50094,152325,5763217,2668692,2017
