State,total population,male,female,under_5yrs,5to9_yrs,10to14_yrs,15to19_yrs,60to64_yrs,65to74_yrs,75to84_yrs,85andover,median_age,18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,Year
Alabama,4777326,2317520,2459806,305091,309360,318484,337159,279202,374441,211411,77453,37.8,3647097,3321318,1256097,26166,54923,4777326,2172647,2012
Alaska,711139,370127,341012,53591,50142,51202,52159,35216,35849,15502,4421,33.8,524513,477985,24219,98976,37968,711139,305445,2012
Arizona,6410979,3187926,3223053,455375,448721,450322,455730,351204,505280,284635,104595,36,4786328,5085954,262284,283805,177598,6410979,2841432,2012
Arkansas,2916372,1431252,1485120,196735,198270,195805,203374,167529,236461,135050,50672,37.4,2206988,2285577,453062,17390,35744,2916372,1316874,2012
California,37325068,18561020,18764048,2543777,2503818,2577389,2788579,1839932,2312897,1381604,606005,35.2,28042262,23252553,2254160,291505,4921543,37325068,13667226,2012
Colorado,5042853,2529614,2513239,340829,348656,330838,340530,270950,316420,170889,71034,36.1,3822574,4243753,201424,49099,136882,5042853,2211615,2012
Connecticut,3572213,1739522,1832691,200031,221806,238955,254462,205639,258464,166552,84806,40,2760001,2802217,355660,8531,138355,3572213,1485445,2012
Delaware,900131,436338,463793,56062,57471,55956,63565,53515,73768,40834,16275,38.7,694530,634259,192629,2877,29177,900131,405883,2012
District of Columbia,605759,286427,319332,34718,26928,25328,41968,30778,37180,21805,10060,33.9,501773,239413,309263,2143,21440,605759,296671,2012
Florida,18885152,9232292,9652860,1076198,1082352,1128870,1215977,1136982,1747634,1100975,448955,40.8,14882779,14438364,3005551,58119,464587,18885152,8983414,2012
Georgia,9714569,4747484,4967085,685245,697499,685318,713989,496835,617602,313881,115143,35.4,7229618,5903173,2970481,24937,318530,9714569,4086231,2012
Hawaii,1362730,683498,679232,88203,80814,82899,85001,84539,101744,63936,31368,38.4,1059710,339079,22399,3079,527745,1362730,519811,2012
Idaho,1567803,785954,781849,119601,118922,117966,115001,84935,111154,60858,24664,34.7,1141984,1445289,8821,19376,19097,1567803,666718,2012
Illinois,12823860,6291373,6532487,832930,856381,874587,918175,669571,860161,527019,235164,36.6,9711122,9298731,1860471,26669,595110,12823860,5293619,2012
Indiana,6485530,3192018,3293512,431230,442708,451912,473350,352258,457066,277922,112487,37,4883032,5500814,582691,15241,102713,6485530,2797237,2012
Iowa,3047646,1507335,1540311,198875,200624,201194,217622,171866,226947,154738,73759,38,2322284,2793432,88664,9708,54262,3047646,1337410,2012
Kansas,2851183,1414881,1436302,202762,201354,198785,203758,150280,192328,126111,59829,36,2129429,2435253,164177,23435,68683,2851183,1233125,2012
Kentucky,4340167,2134355,2205812,280640,280790,286821,294459,250700,329574,182531,70972,38,3318788,3823344,339228,8607,49681,4340167,1927916,2012
Louisiana,4529605,2215673,2313932,313009,306753,306632,321042,246851,315611,179546,67337,35.9,3414544,2856883,1450992,28702,71460,4529605,1964329,2012
Maine,1329084,650219,678865,68687,74526,78892,88528,90756,114368,70160,28703,42.8,1055248,1266435,14338,7168,13971,1329084,721171,2012
Maryland,5785496,2798875,2986621,365258,364480,379894,405282,320148,392312,225321,98093,37.9,4434793,3408049,1700174,17323,323363,5785496,2378932,2012
Massachusetts,6560595,3174988,3385607,366952,387881,402157,467264,373271,463633,302782,144664,39.1,5143797,5310948,446347,12908,357354,6560595,2804206,2012
Michigan,9897264,4855361,5041903,593776,636054,675417,734610,569824,733580,448041,190604,38.8,7558852,7852317,1391269,55723,245587,9897264,4531958,2012
Minnesota,5313081,2638499,2674582,352455,354669,353328,369657,283610,359092,225687,104717,37.4,4032749,4570137,271953,56770,216159,5313081,2347928,2012
Mississippi,2967620,1439787,1527833,208315,206573,209137,222714,161812,217045,121600,45196,36,2214150,1768530,1101849,13344,26403,2967620,1274277,2012
Missouri,5982413,2929988,3052425,385372,389283,396728,421390,336134,454658,273332,115482,37.9,4564018,4972530,689683,22704,96035,5982413,2710506,2012
Montana,990785,497141,493644,60865,62478,60620,67002,63838,81418,47012,19542,39.9,767735,887924,4145,62398,6034,990785,481401,2012
Nebraska,1827306,906143,921163,130754,127741,124195,129347,97611,124131,84830,38582,36.3,1369381,1612538,82341,16461,32302,1827306,797210,2012
Nevada,2704204,1365496,1338708,187513,186194,179000,179435,152306,200930,96855,31606,36.3,2040581,1970074,218305,30061,196245,2704204,1171300,2012
New Hampshire,1317474,650048,667426,69372,76853,84857,94710,82309,98760,57678,24065,41.1,1031739,1241440,15339,2470,28684,1317474,613995,2012
New Jersey,8793888,4283189,4510699,537989,563537,585035,597051,482933,620899,397292,177899,38.9,6738236,6121023,1187307,21702,736015,8793888,3555864,2012
New Mexico,2055287,1015710,1039577,143937,142788,141373,148538,121112,155997,86633,32473,36.6,1539817,1492641,41634,189785,26855,2055287,900504,2012
New York,19398125,9391875,10006250,1159763,1157647,1212044,1356668,1068688,1378799,870606,391229,38,15081205,12808268,3037255,69500,1445539,19398125,8102223,2012
North Carolina,9544249,4649769,4894480,627188,631658,635713,659421,538083,707990,395483,144496,37.4,7269311,6659867,2047092,110171,211708,9544249,4325088,2012
North Dakota,676253,342030,334223,44052,41583,39018,47983,37182,47452,33861,16556,36.9,525953,608799,8286,36160,6869,676253,319468,2012
Ohio,11533561,5630373,5903188,712820,750218,770410,817811,669501,860348,543287,230967,38.8,8815483,9577732,1403238,21447,196395,11533561,5124503,2012
Oklahoma,3749005,1855637,1893368,261232,258733,253991,263445,203660,283129,163990,62701,36.3,2822253,2766297,270993,261060,65643,3749005,1664404,2012
Oregon,3836628,1899186,1937442,234979,239038,240793,252826,238730,295472,167730,77325,38.4,2972385,3272707,69377,52637,143652,3836628,1673593,2012
Pennsylvania,12699589,6190405,6509184,725723,757222,785656,904109,745208,991108,675192,306047,40.1,9916771,10475818,1372144,19247,351626,12699589,5563832,2012
Rhode Island,1052471,508521,543950,56804,59686,64821,79536,59152,75293,51614,26256,39.4,829433,859686,64711,4784,31863,1052471,462603,2012
South Carolina,4630351,2251898,2378453,299819,296618,297930,325253,279469,375219,195287,69592,37.9,3552529,3108466,1290704,15122,57635,4630351,2134456,2012
South Dakota,815871,409334,406537,58268,54611,54883,58773,44264,58012,40085,19355,37.1,613939,701466,10331,71532,8060,815871,363793,2012
Tennessee,6353226,3097568,3255658,406033,410421,421634,431820,373372,492409,269423,99587,38,4859390,4982977,1060494,15991,92800,6353226,2811854,2012
Texas,25208897,12509812,12699085,1928842,1921140,1876594,1878407,1195355,1495256,829289,310845,33.6,18359568,18670767,2972834,127794,979385,25208897,9978137,2012
Utah,2766233,1389986,1376247,260218,247412,229653,219322,108223,139850,81677,30401,29.3,1899143,2465277,29912,30823,56081,2766233,979848,2012
Vermont,625498,308429,317069,31675,34418,37461,46183,40973,50297,29411,12353,41.7,497194,596251,5804,1855,7891,625498,322243,2012
Virginia,8014955,3933820,4081135,507701,508191,515419,552703,449136,559430,307132,121943,37.4,6166242,5575445,1561042,25205,443460,8014955,3365855,2012
Washington,6738714,3360046,3378668,437979,427964,437837,457294,387162,464796,258085,114339,37.2,5162811,5304864,238255,93416,484047,6738714,2884186,2012
West Virginia,1850481,911142,939339,104141,104345,110726,119506,125451,164894,98197,36261,41.3,1463353,1737369,58260,2934,12694,1850481,882240,2012
Wisconsin,5687219,2822271,2864948,355308,366652,376608,399788,315089,405090,262023,116549,38.5,4353443,4961852,353470,49289,129550,5687219,2620401,2012
Wyoming,562803,286644,276159,39192,37327,36193,38505,31842,39813,21854,8705,36.9,427994,513021,4689,12951,4392,562803,261430,2012
