State,Male_household_nofamily,None_Family_household,Householder_living_alone,Household_people_under18,Population_in_household,Relationship_child,Never_Married,Divorced,Kindergarten,12grade_nodiploma,Some_college_no_degree,Grade_professional_degree,Naturalised_US_citizen,Not_US_citizen,Year
Alabama,78195,601792,525668,585393,4701072,1424776,603407,213911,62857,350044,708087,276545,55514,110963,2014
Alaska,14419,83126,64117,91165,701193,228369,112384,33180,10553,24061,130886,45177,27910,23770,2014
Arizona,128740,817847,650349,768113,6413649,1950876,925299,277265,88074,333929,1108486,427231,339481,544166,2014
Arkansas,51518,370909,315456,363598,2865686,840523,345924,138633,40243,192173,437258,139292,40384,95386,2014
California,751106,3950994,3041390,4602710,37251410,11988569,6003778,1212842,514332,2079609,5465764,2838385,4911899,5378737,2014
Colorado,90693,715889,560361,645529,5079689,1468342,721403,213557,70606,194477,783753,474009,192391,314812,2014
Connecticut,59301,456649,378669,436108,3472533,1068795,522666,127584,42633,150227,431807,401889,235507,254953,2014
Delaware,16553,111205,90061,106391,892045,265913,127400,35852,11948,49100,122450,74117,35527,41352,2014
District of Columbia,10071,153819,120523,55345,593525,138324,147672,21888,7491,29931,60863,133195,34483,54143,2014
Florida,330379,2567346,2092482,2039308,18932457,5449311,2690640,883586,226374,1099577,2828529,1304635,1960009,1829820,2014
Georgia,166637,1133592,944648,1256257,9646660,3082884,1369925,369399,146103,599954,1352540,666183,371908,590838,2014
Hawaii,24860,138551,107825,150817,1348972,388123,213392,48329,17770,47068,211193,98028,140906,108374,2014
Idaho,25327,178556,142654,202922,1570078,495917,179648,68095,23626,67315,274568,81463,34229,61406,2014
Illinois,218990,1647508,1370502,1558454,12568247,3963592,1885732,433758,170221,590256,1813377,1041514,838686,948240,2014
Indiana,113797,836027,693527,811435,6353911,1934029,842166,292665,87636,356781,899154,365104,112699,199986,2014
Iowa,49991,435197,354507,374628,2978349,842641,388027,122336,43253,106989,439849,170493,54017,89693,2014
Kansas,48279,381352,316936,365319,2803825,842276,356533,117002,42466,111989,451696,201854,68325,127569,2014
Kentucky,79946,567919,478553,545001,4253419,1234939,534529,209077,59302,280324,607604,262083,52653,95156,2014
Louisiana,87702,585536,494165,573105,4472827,1404250,663840,191075,64535,333310,645544,224281,72250,109392,2014
Maine,24115,205114,160744,148501,1292950,327255,164707,69147,14478,52066,190372,95586,25631,21498,2014
Maryland,104097,710066,581005,725615,5747580,1770153,848632,189241,78435,267259,779089,676079,397433,439968,2014
Massachusetts,103708,923423,731151,779995,6409981,1900424,1020931,208836,80889,255123,741865,792803,520931,496435,2014
Michigan,173222,1326821,1106226,1170039,9661765,2940410,1385209,412096,129295,490686,1583140,679682,308236,302286,2014
Minnesota,89343,743026,597373,664855,5248168,1538501,738455,189826,71489,164848,797819,392259,193791,209754,2014
Mississippi,54591,342052,298413,379650,2889499,921370,402804,124673,46908,229320,440011,144880,23498,43473,2014
Missouri,100961,828324,686875,733043,5853793,1715897,767733,262645,79864,326706,915730,401479,103033,132962,2014
Montana,17850,151789,123214,113451,977533,261684,129499,48723,13365,36414,172907,63069,10894,9626,2014
Nebraska,30529,255607,210048,233014,1804020,530933,234563,68724,26078,64335,289033,113296,42721,77696,2014
Nevada,62965,357460,279093,330977,2725162,816584,395057,143871,37267,166385,481419,141721,233551,293484,2014
New Hampshire,22117,172352,131975,155725,1280629,354587,170652,57480,15271,49369,173926,117855,38529,34883,2014
New Jersey,154011,980423,822993,1096901,8687835,2812892,1283298,239931,116320,376809,1026756,838125,989166,915239,2014
New Mexico,44080,266547,220838,247555,2037138,640804,295803,94190,29007,121093,324492,153085,70926,134955,2014
New York,358886,2619511,2144342,2266694,19011066,5868178,3136968,556760,240389,1048770,2169590,1944452,2317787,2058158,2014
North Carolina,166170,1257541,1044307,1209358,9495510,2815815,1274546,352193,131991,590605,1424961,620248,240268,500967,2014
North Dakota,11484,114613,91257,82783,678761,179687,104751,25844,9709,20803,108378,35245,7484,13071,2014
Ohio,203010,1625918,1361821,1397452,11250441,3336391,1545345,494595,147283,624538,1607698,741400,233953,235238,2014
Oklahoma,70347,485788,407376,478327,3708737,1102531,459360,182302,56420,219751,597883,196219,70846,143935,2014
Oregon,68717,556838,425317,451697,3813328,1040374,520167,184022,48022,173081,713309,299277,150498,233488,2014
Pennsylvania,215905,1753797,1465444,1440740,12329406,3620701,1836170,428416,147219,651043,1436713,960596,401469,380634,2014
Rhode Island,19212,153533,123874,120238,1011282,294156,164008,39958,10716,59177,131602,90148,70049,67969,2014
South Carolina,81790,591443,498640,566734,4589260,1357096,637545,177261,72588,308689,663550,290052,81502,144951,2014
South Dakota,14883,116306,96386,100190,800706,229232,111123,34120,11504,28192,119701,43612,9096,15304,2014
Tennessee,110902,829178,699433,788274,6297168,1845258,797037,291871,81428,398852,911486,381055,109057,195738,2014
Texas,456033,2735627,2248358,3435841,25501018,8478812,3470721,938948,419686,1505854,3726610,1501274,1454672,2842276,2014
Utah,37610,222753,174359,382714,2811966,1045822,336559,85077,51494,98358,453180,167048,84697,154987,2014
Vermont,10603,96380,73416,70652,601021,152876,87314,28473,6671,23725,75982,60781,15201,10979,2014
Virginia,129210,994604,806539,1002599,7943875,2350171,1117524,277113,106906,394451,1100887,826694,454434,494050,2014
Washington,117522,939749,735032,829958,6758532,1944747,942696,291122,88053,267336,1155397,544381,427201,493493,2014
West Virginia,32580,260547,222088,205637,1804374,492111,232436,92828,20935,130192,238733,93060,12969,14571,2014
Wisconsin,100912,823891,664071,685844,5575300,1604207,783752,227825,87411,231790,811610,358816,114684,153740,2014
Wyoming,9885,78193,62371,69159,561129,157311,70972,28458,7604,21335,104321,31724,7063,12273,2014
