State,Male_household_nofamily,None_Family_household,Householder_living_alone,Household_people_under18,Population_in_household,Relationship_child,Never_Married,Divorced,Kindergarten,12grade_nodiploma,Some_college_no_degree,Grade_professional_degree,Naturalised_US_citizen,Not_US_citizen,Year
Alabama,77094,580707,506106,609138,4599040,1378732,558457,200684,63947,383038,653096,245008,45532,112403,2010
Alaska,14726,79564,60677,94569,665870,209932,100416,29438,9844,24788,121756,41211,24772,24990,2010
Arizona,117804,784163,623070,781722,6112128,1828811,822536,250951,89232,338504,1026418,385058,289578,595047,2010
Arkansas,48084,354391,303910,373700,2794148,812922,315892,129491,40558,211077,408196,120202,34745,87701,2010
California,713876,3897530,3022366,4686550,35810593,11492070,5511287,1126688,508848,2097207,5043595,2546914,4472020,5490452,2010
Colorado,81869,682951,541091,636420,4773248,1374083,639576,193833,66831,202865,715142,411470,158669,321100,2010
Connecticut,55106,447565,369552,459057,3428540,1038567,472592,116888,43077,167250,415439,367259,217613,251567,2010
Delaware,15197,106843,86990,109869,856711,253625,117022,31232,11230,51388,116306,65108,29935,42596,2010
District of Columbia,9437,148146,120619,54238,545221,126243,134544,19231,5356,33863,56810,108831,27350,48708,2010
Florida,320344,2482775,2009994,2129247,18094624,5028793,2396719,804344,216883,1155377,2634397,1169365,1667068,1882442,2010
Georgia,158012,1095281,909560,1279072,9214377,2884214,1224951,347199,142154,631573,1215400,585495,307045,601977,2010
Hawaii,24403,133742,105165,152876,1291747,370676,197206,46259,16410,48536,194914,88368,133315,102862,2010
Idaho,23755,170459,134828,207468,1497938,464518,161745,61374,23558,71110,253373,72011,29286,60073,2010
Illinois,211798,1608404,1346786,1633880,12437349,3926491,1776651,409789,173922,647196,1737964,953179,769086,967610,2010
Indiana,107043,807596,672594,832486,6231398,1890200,777581,274454,89716,394031,845057,337140,99711,185589,2010
Iowa,45020,422112,345813,376990,2917045,819727,362429,111208,39492,120143,424273,149391,44755,79926,2010
Kansas,44703,370727,309183,369489,2729767,807524,330212,108583,40571,119018,427512,181723,57708,119431,2010
Kentucky,71265,548539,468176,554605,4160928,1214771,496990,194428,56620,308968,560162,235282,43223,87571,2010
Louisiana,77122,532449,450542,572261,4303960,1354646,604181,176790,64008,347246,586067,196885,65998,91699,2010
Maine,22194,196992,155364,160057,1292024,336355,158713,61598,14589,59859,178022,87126,24092,19819,2010
Maryland,96762,697648,570898,739716,5558493,1685784,779254,174931,74066,295600,732128,604519,335717,414816,2010
Massachusetts,99318,911964,727048,801499,6239194,1837107,951729,192057,81379,282661,701624,716646,455803,486452,2010
Michigan,162472,1290018,1083656,1251387,9716837,3016138,1322255,386152,132328,552198,1538716,627038,286257,305277,2010
Minnesota,82987,727739,585619,677268,5106168,1490633,690936,173859,67670,175683,772942,347737,159386,207565,2010
Mississippi,51624,331778,289199,392041,2848779,903231,378496,119855,46692,247938,406837,128172,20476,43042,2010
Missouri,97265,803446,670134,761111,5749227,1679684,714161,243382,78930,358523,859097,360148,90473,126225,2010
Montana,15368,145198,116779,116926,945313,247750,118069,45570,12085,39810,156844,56576,10366,8753,2010
Nebraska,27427,244521,202517,232440,1747881,513712,220367,62924,25250,68369,275320,101878,35603,70695,2010
Nevada,59754,336721,257553,339339,2597687,761831,355256,129753,35488,163189,442005,128666,199952,308930,2010
New Hampshire,20822,167676,128445,165465,1274476,359796,159942,54220,15636,55108,168492,106406,35302,33697,2010
New Jersey,145700,977419,824236,1128497,8533093,2727239,1199103,224141,115734,424463,986441,763027,882018,891841,2010
