State,Male_household_nofamily,None_Family_household,Householder_living_alone,Household_people_under18,Population_in_household,Relationship_child,Never_Married,Divorced,Kindergarten,12grade_nodiploma,Some_college_no_degree,Grade_professional_degree,Naturalised_US_citizen,Not_US_citizen,Year
New Mexico,42784,258740,213485,255062,1970764,611257,272502,84731,27785,123052,299157,140432,62168,133602,2010
New York,346730,2549625,2095241,2365479,18636816,5731637,2922502,517649,235906,1107494,2050472,1780983,2170747,2009328,2010
North Carolina,154400,1203487,1002619,1214694,9012310,2614716,1138283,321590,124081,631062,1278861,532165,195984,486971,2010
North Dakota,9535,106165,87167,79266,634679,169044,93874,22823,8021,21347,99183,29768,6157,9650,2010
Ohio,189544,1568770,1322280,1460679,11206368,3356963,1451143,467102,150720,701533,1539096,674910,212015,228746,2010
Oklahoma,64104,470463,397371,476923,3563497,1041677,421632,166848,53790,232987,559367,176139,62165,130623,2010
Oregon,62194,542152,417788,456973,3677041,1003128,478808,168359,45387,182976,667596,264031,131305,233593,2010
Pennsylvania,206716,1709560,1437503,1503110,12183579,3581429,1705557,408518,147888,739122,1362754,861438,346978,357354,2010
Rhode Island,17572,151733,124253,127535,1012774,300751,155660,38425,12243,66400,124247,84177,61936,71612,2010
South Carolina,74856,568082,478741,574064,4371827,1280869,586456,155904,67763,330359,581690,251711,66105,146154,2010
South Dakota,11862,109589,91588,100198,766207,219783,100827,30998,9857,30291,112398,38047,7414,11249,2010
Tennessee,105758,798570,675935,807094,6082854,1761010,728322,271195,84856,443783,849477,332035,84812,188488,2010
Texas,416293,2547028,2108263,3357960,23730489,7808801,3071957,836109,391643,1515336,3318190,1284405,1245278,2668299,2010
Utah,34457,213108,164798,370806,2612864,955354,298150,75093,46993,93891,407938,143129,71025,147258,2010
Vermont,10633,93860,71863,76524,599721,155662,83398,26914,6311,26311,71631,55892,13586,11251,2010
Virginia,122402,974420,797014,1003020,7600728,2223916,1024786,253567,103227,438680,1020903,722841,375650,472437,2010
Washington,112838,911997,714844,840449,6420822,1818277,857248,275273,82913,277877,1086117,481636,364326,468420,2010
West Virginia,29955,250891,214938,213836,1792375,488519,217529,85926,21143,144591,225320,85749,11568,12349,2010
Wisconsin,94280,795030,641167,717869,5486726,1567586,739826,207485,84160,258329,771735,323267,105865,152122,2010
Wyoming,9686,73344,59855,69530,532007,144682,63710,26428,7058,21256,95427,27977,5936,10776,2010
