State,ES_16above,ES_inlabor,ES_not_inlabor,ES_own_under6,ES_Gov,ES_Const,ES_Manuf,Year
Alabama,3846845,2242401,1604444,337782,329365,130220,281016,2015
Alaska,565212,399077,166135,63679,88236,26411,12098,2015
Arizona,5207123,3106324,2100799,502325,411874,185028,204240,2015
Arkansas,2328384,1365791,962593,218936,205471,81819,170593,2015
California,30312429,19269449,11042980,2908143,2379746,1029140,1687092,2015
Colorado,4168824,2852439,1316385,394562,365666,195258,182453,2015
Connecticut,2906229,1962170,944059,225910,235603,100593,191286,2015
Delaware,744949,473007,271942,64207,63051,25908,39404,2015
District of Columbia,546805,377072,169733,45172,85936,10130,4356,2015
Florida,16077778,9510681,6567097,1249831,1067602,565396,445101,2015
Georgia,7792052,4906258,2885794,773364,666382,278360,468172,2015
Hawaii,1130491,736939,393552,103985,134580,46400,19767,2015
Idaho,1232564,774526,458038,135685,113208,50710,70553,2015
Illinois,10201787,6712162,3489625,935386,756715,313232,765301,2015
Indiana,5160786,3300531,1860255,488702,333868,175010,569228,2015
Iowa,2447401,1656968,790433,231180,213324,97457,239613,2015
Kansas,2247842,1507080,740762,235069,222381,88203,176444,2015
Kentucky,3493098,2080437,1412661,314649,286153,111400,264406,2015
Louisiana,3634163,2208869,1425294,358521,312840,161968,160133,2015
Maine,1098075,697913,400162,76258,91258,44905,60551,2015
Maryland,4737405,3241222,1496183,427387,663194,198629,140892,2015
Massachusetts,5479502,3700701,1778801,428524,424079,184928,313474,2015
Michigan,7925988,4855005,3070983,669288,486371,212000,776736,2015
Minnesota,4281141,2996985,1284156,410714,336302,156525,382798,2015
Mississippi,2333154,1352993,980161,225858,222826,81415,159965,2015
Missouri,4803676,3053938,1749738,436814,357942,169570,319724,2015
Montana,814661,521330,293331,72117,87935,39449,21934,2015
Nebraska,1454157,1020419,433738,151457,136888,64837,105135,2015
Nevada,2210559,1424596,785963,209930,156398,76664,52723,2015
New Hampshire,1087512,742874,344638,77658,94272,49173,89019,2015
New Jersey,7120154,4702508,2417646,626663,592997,240260,361404,2015
New Mexico,1633310,973891,659419,161215,194085,59855,41183,2015
New York,15921937,10107278,5814659,1354770,1443651,514033,600408,2015
North Carolina,7812594,4909108,2903486,712777,652433,293361,545160,2015
North Dakota,575611,404820,170791,56173,63572,29128,26531,2015
Ohio,9229397,5852224,3377173,810462,673074,275483,831030,2015
Oklahoma,3003180,1854061,1149119,304891,291572,121377,169899,2015
Oregon,3177669,1976314,1201355,267599,252362,99157,204094,2015
Pennsylvania,10384811,6521759,3863052,836208,649568,341409,729883,2015
Rhode Island,865174,569623,295551,65061,65674,26853,56613,2015
South Carolina,3816548,2323906,1492642,335913,327643,132467,286743,2015
South Dakota,657804,453990,203814,69049,66678,29258,42605,2015
Tennessee,5174955,3172519,2002436,462246,405090,179866,377952,2015
Texas,20241168,13101788,7139380,2265969,1674061,947689,1105985,2015
Utah,2096916,1423700,673216,301674,204136,86508,146542,2015
Vermont,519139,346162,172977,35834,47656,24203,35282,2015
Virginia,6598956,4376786,2222170,596284,816133,254569,289554,2015
Washington,5568640,3586261,1982379,514350,527879,198176,340891,2015
West Virginia,1512183,815405,696778,117864,142886,46934,60727,2015
Wisconsin,4583931,3079657,1504274,404537,357379,153703,532873,2015
Wyoming,456640,311371,145269,44931,61890,22364,11694,2015
