State,Male_household_nofamily,None_Family_household,Householder_living_alone,Household_people_under18,Population_in_household,Relationship_child,Never_Married,Divorced,Kindergarten,12grade_nodiploma,Some_college_no_degree,Grade_professional_degree,Naturalised_US_citizen,Not_US_citizen,Year
Alabama,75330,595032,520356,597337,4662328,1410806,584355,207461,64873,363148,691686,256884,51002,115732,2012
Alaska,14859,83274,64130,94150,684891,218013,105333,32300,9606,23928,130339,43527,25763,23578,2012
Arizona,122792,803229,639422,777578,6268955,1902725,876661,263025,88171,335252,1088815,403096,312159,556660,2012
Arkansas,49436,363729,311434,368666,2836093,832795,330745,134161,39557,199215,428914,127755,37967,91182,2012
California,730104,3916297,3030438,4635148,36504565,11775763,5778554,1172808,516636,2090094,5345201,2676985,4680873,5423866,2012
Colorado,84723,702755,554435,639842,4926643,1422828,678866,202530,69416,194235,760014,440391,174877,315077,2012
Connecticut,57050,452584,375133,450264,3454351,1057350,496941,123406,42742,158805,429013,384892,226263,255617,2012
Delaware,15916,108278,87423,108268,875458,261220,122851,32877,11572,49416,122507,68964,32011,42894,2012
District of Columbia,9470,151549,121307,53171,565879,132150,142162,20627,6564,31961,59867,119786,31084,50964,2012
Florida,319703,2515608,2050448,2069887,18461796,5266313,2553294,845207,221443,1123105,2771371,1227890,1795709,1848623,2012
Georgia,162005,1111232,927826,1271113,9455567,2999434,1299191,360018,146435,608994,1309587,627430,340225,599339,2012
Hawaii,25019,137153,106901,151921,1319671,378644,205985,47417,16984,47905,208480,93125,138469,108333,2012
Idaho,24216,173557,137564,206713,1538681,483335,172169,65532,23967,68026,269072,76443,31511,62503,2012
Illinois,214994,1631928,1361798,1596606,12521273,3965180,1838840,425773,172507,615797,1804949,996459,802068,966237,2012
Indiana,107573,823312,685009,822324,6298088,1921947,814989,282857,88059,372057,883070,348807,103794,194169,2012
Iowa,47378,427611,350339,376074,2948220,834837,375129,117307,39990,112971,441428,156853,49633,82697,2012
Kansas,47351,379083,314256,366358,2771928,829516,345753,115694,41178,113674,448445,191805,63278,123246,2012
Kentucky,75215,556691,474821,552658,4214511,1231930,518929,200985,59096,291767,595225,247039,47300,92486,2012
Louisiana,81599,566188,479985,579873,4402312,1379690,633702,184063,64166,335236,629013,209520,68101,99135,2012
Maine,22886,203351,160097,153127,1293440,332321,163254,65949,14365,55454,188547,91550,24647,19502,2012
Maryland,98654,706424,580083,732559,5645634,1727608,814952,182308,75352,272887,770779,633904,363595,432809,2012
Massachusetts,100217,921488,733820,788855,6316953,1871423,981462,202033,82906,268218,739171,751167,484422,487043,2012
Michigan,165359,1299974,1091619,1205489,9667270,2985060,1352844,397934,130368,516802,1581958,645350,296261,301494,2012
Minnesota,86507,736030,592835,670480,5177138,1518042,716441,181609,69758,169189,794194,368478,171129,211603,2012
Mississippi,52747,337690,295096,385926,2874898,921318,388559,124041,47286,235003,430549,137382,20635,44683,2012
Missouri,99262,814742,677662,746587,5808612,1700083,746114,253975,80092,341805,907325,382018,96682,134403,2012
Montana,16335,149271,121048,114425,962040,255721,125527,46859,12808,38263,168274,58982,10379,9120,2012
Nebraska,28869,252335,208822,231333,1776057,523423,228369,66503,26134,64781,287787,107556,39245,73224,2012
Nevada,60621,347686,267310,337289,2668131,797618,378179,138080,36752,166105,468061,133149,213639,305275,2012
New Hampshire,20972,169601,130449,160941,1277491,358462,164324,56171,15204,52584,173637,111375,36226,33399,2012
New Jersey,149243,981348,827592,1112661,8606711,2774242,1245995,232246,117304,396922,1023647,797718,928035,905041,2012
New Mexico,43838,262857,217914,249967,2012699,631171,283209,91215,28167,122562,319412,146730,66409,134129,2012
New York,351847,2584572,2119199,2319186,18810163,5813858,3043589,538222,239205,1078432,2155666,1853184,2229143,2038877,2012
North Carolina,160072,1228458,1021836,1220178,9286780,2732523,1208323,336923,129346,606026,1381228,569980,220890,497904,2012
North Dakota,10113,109471,89495,79363,651023,173482,97347,24792,8853,21002,105668,32875,6491,10545,2012
Ohio,193283,1593492,1341169,1424041,11226654,3356360,1496295,481475,149767,656111,1609204,701223,223619,230968,2012
Oklahoma,67400,478857,403240,478315,3638185,1074620,439212,174212,55167,222264,593033,186824,66456,137899,2012
Oregon,65617,548444,421620,453452,3750575,1028110,500516,174119,46548,177314,704792,280876,141435,234573,2012
Pennsylvania,212675,1732439,1453512,1478378,12271822,3613293,1779777,416773,147181,684247,1431692,902798,372727,365451,2012
Rhode Island,18172,154539,125737,123580,1009824,296613,160069,38632,11439,60859,130358,86445,66555,69801,2012
South Carolina,77500,576204,486457,570706,4490811,1328471,614331,164400,71244,317253,633902,269034,72485,149621,2012
South Dakota,12972,112740,94200,100035,782064,224903,105391,33158,10144,28776,118715,41376,8267,13221,2012
Tennessee,105476,818328,693499,795399,6200650,1811568,764090,281748,82572,419059,901089,353840,95955,193091,2012
Texas,438117,2641760,2182605,3401269,24625722,8167504,3274803,892529,408589,1509625,3592978,1378696,1343456,2755558,2012
Utah,36334,221044,171929,376882,2720508,1005762,318557,81272,49711,98107,434957,153664,76608,152281,2012
Vermont,10268,95108,71717,73115,600360,153602,85148,27895,6536,24740,74319,58165,14877,10408,2012
Virginia,124183,980316,795232,1004290,7773620,2290014,1073162,265156,105260,415628,1080148,772010,412407,480770,2012
