State,total population,male,female,under_5yrs,5to9_yrs,10to14_yrs,15to19_yrs,60to64_yrs,65to74_yrs,75to84_yrs,85andover,median_age,18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,Year
South Dakota,825198,414382,410816,58935,57031,54704,57851,46897,59962,39910,19604,36.9,621017,706667,11531,71766,8597,825198,365694,2013
Tennessee,6402387,3120796,3281591,403431,411772,423504,428201,382586,512510,273853,101573,38.2,4909634,5007014,1073534,16604,95801,6402387,2821797,2013
Texas,25639373,12729156,12910217,1934973,1954747,1906075,1884547,1237984,1568590,848059,319697,33.8,18714465,19075100,3030970,129219,1019260,25639373,10070703,2013
Utah,2813673,1414267,1399406,259342,250896,237415,220600,113139,146955,83050,31408,29.6,1934173,2487467,31101,31696,58150,2813673,988571,2013
Vermont,625904,308544,317360,31237,34213,36991,45658,42509,53084,29562,12432,42,499262,595862,6139,1841,7922,625904,322915,2013
Virginia,8100653,3977926,4122727,509788,517418,514349,549877,460887,586264,311054,125968,37.5,6244639,5627076,1568021,24816,457792,8100653,3381332,2013
Washington,6819579,3401539,3418040,441534,435093,438454,451990,403238,493031,260041,118247,37.3,5234679,5350938,245041,94194,498941,6819579,2899538,2013
West Virginia,1853619,913201,940418,103607,104752,109686,117142,128197,169620,98092,37257,41.5,1468456,1737996,58489,2955,12806,1853619,880951,2013
Wisconsin,5706871,2832906,2873965,351295,367123,375398,395303,329946,421552,260860,119841,38.7,4381727,4966900,355873,49343,132609,5706871,2626142,2013
Wyoming,570134,291223,278911,39409,38160,36820,38168,33535,41307,22051,9043,36.8,433712,518388,5167,13268,4782,570134,263040,2013
