State,total population,male,female,under_5yrs,5to9_yrs,10to14_yrs,15to19_yrs,60to64_yrs,65to74_yrs,75to84_yrs,85andover,median_age,18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,Year
Alabama,4799277,2328592,2470685,301925,306456,320031,332287,285880,387589,214771,78214,38.1,3675910,3326188,1262152,25278,56831,4799277,2178116,2013
Alaska,720316,375798,344518,54362,50374,51821,51612,37413,38394,15701,4922,33.6,532446,481638,25033,101273,39200,720316,306662,2013
Arizona,6479703,3221367,3258336,446556,452538,452033,455848,362387,530816,292747,108159,36.3,4858658,5131739,270027,286953,182953,6479703,2859768,2013
Arkansas,2933369,1439862,1493507,195357,200246,196350,201018,169771,243527,136433,51762,37.5,2223405,2295446,454903,17945,37776,2933369,1320772,2013
California,37659181,18726468,18932713,2527752,2517928,2564734,2750118,1914064,2426218,1391398,629249,35.4,28416963,23467167,2255372,286397,5005635,37659181,13726869,2013
Colorado,5119329,2568343,2550986,339802,351154,337828,340914,284020,337224,175283,72743,36.1,3891264,4301096,203755,49177,141719,5119329,2222782,2013
Connecticut,3583561,1745364,1838197,197395,220139,236742,255816,210753,269422,164260,86602,40.2,2779516,2792554,361668,8770,141709,3583561,1486995,2013
Delaware,908446,439985,468461,56000,57316,56400,62266,55050,77332,41356,16958,38.9,703509,635474,194964,3010,30422,908446,407865,2013
District of Columbia,619371,293104,326267,36492,28100,24399,40374,31234,38398,21801,10164,33.8,514080,248141,310530,1990,21845,619371,298327,2013
Florida,19091156,9332589,9758567,1076304,1084998,1135630,1202527,1159268,1816699,1117145,466081,41,15084361,14568521,3056152,58390,475905,19091156,9003933,2013
Georgia,9810417,4793940,5016477,677378,699759,695624,711700,512481,650420,321633,117964,35.6,7322131,5948977,3010984,24496,330392,9810417,4094812,2013
Hawaii,1376298,691426,684872,89223,81708,83842,83355,85466,107791,63137,32991,38.3,1071394,344488,24532,3050,526743,1376298,522164,2013
Idaho,1583364,793708,789656,117755,119789,120310,114302,89126,117207,62232,25095,34.9,1156346,1455692,8957,19984,20141,1583364,670084,2013
Illinois,12848554,6304099,6544455,820771,851781,871816,906761,695505,890539,524605,241714,36.8,9762138,9320910,1851524,27548,609923,12848554,5291704,2013
Indiana,6514861,3206295,3308566,427452,445453,449848,468392,363809,473582,275562,117586,37.1,4917721,5510618,592954,14975,107563,6514861,2800895,2013
Iowa,3062553,1516152,1546401,197610,202133,201997,216113,178920,232799,153334,75591,38.1,2337531,2802839,91754,9440,55878,3062553,1341001,2013
Kansas,2868107,1425049,1443058,202761,202977,200367,203366,156145,199791,125261,61200,36,2143345,2449273,164299,23958,70408,2868107,1235485,2013
Kentucky,4361333,2145986,2215347,278866,282577,287359,290705,257859,341140,184435,72300,38.2,3340703,3835013,341576,8811,51411,4361333,1930158,2013
Louisiana,4567968,2234939,2333029,312075,310624,307090,315135,253796,327199,181797,68507,36,3452150,2874235,1463345,28466,73460,4567968,1974313,2013
Maine,1328320,649600,678720,67176,73724,77907,86518,93508,119858,70301,29462,43.2,1059215,1264047,14637,7364,14391,1328320,721971,2013
Maryland,5834299,2824531,3009768,366354,367529,378370,401113,332147,411214,226232,101226,38,4485506,3406243,1717582,17535,332620,5834299,2387285,2013
Massachusetts,6605058,3197502,3407556,366296,386310,399362,464514,382511,485891,299900,147989,39.2,5197008,5318548,454887,12956,368178,6605058,2808549,2013
Michigan,9886095,4851302,5034793,585258,628571,666478,718686,590952,763082,446454,195697,39.1,7582340,7841011,1385154,54881,251175,9886095,4529311,2013
Minnesota,5347740,2655658,2692082,351416,356193,355286,366454,296392,375031,227945,105891,37.6,4067360,4575991,279944,57479,222761,5347740,2353932,2013
Mississippi,2976872,1445356,1531516,205585,206419,209849,218213,166676,223993,123311,45529,36.2,2228376,1769766,1106982,13030,27646,2976872,1277522,2013
Missouri,6007182,2941951,3065231,383011,391370,395933,413955,347744,469964,274313,117761,38,4594138,4984653,691128,22781,98962,6007182,2713829,2013
Montana,998554,501549,497005,61040,63324,60431,66193,66446,85426,47444,20091,39.9,775259,893032,4038,64426,6246,998554,483303,2013
Nebraska,1841625,913478,928147,130465,130228,124895,128739,101981,128342,85042,39201,36.3,1381509,1624312,84228,16408,34144,1841625,800277,2013
Nevada,2730066,1377138,1352928,183538,186314,181054,178694,155157,211680,99458,33924,36.6,2067996,1948808,224424,29446,202157,2730066,1177751,2013
New Hampshire,1319171,651106,668065,68116,76514,82466,93758,85046,104075,57982,25025,41.5,1038311,1240404,16011,2588,29337,1319171,615204,2013
New Jersey,8832406,4304817,4527589,537907,560374,584130,593393,492824,644366,392802,184064,39.1,6785166,6108784,1197753,20482,756668,8832406,3563130,2013
New Mexico,2069706,1024290,1045416,141533,143745,142726,146419,124665,163422,88316,33381,36.7,1555803,1511087,42196,189953,28034,2069706,902302,2013
New York,19487053,9442496,10044557,1164577,1154990,1200760,1334705,1097758,1426716,865633,403034,38.1,15196034,12779326,3042152,72740,1479326,19487053,8113270,2013
North Carolina,9651380,4702565,4948815,623707,639455,639716,657111,554084,742516,400726,151918,37.6,7369782,6727690,2068726,111733,221392,9651380,4349023,2013
North Dakota,689781,349947,339834,45275,42715,40445,47931,38855,48703,33673,16874,36.4,535913,618098,9273,36659,7362,689781,324712,2013
Ohio,11549590,5642666,5906924,706439,745401,766836,808017,692650,890162,540226,236258,39,8853774,9569431,1402897,20709,201394,11549590,5124221,2013
Oklahoma,3785742,1873875,1911867,264159,262213,256923,260843,208692,292159,165856,63599,36.2,2850383,2783609,273421,266509,68161,3785742,1669828,2013
Oregon,3868721,1914014,1954707,233715,239829,240635,250953,247886,312897,168636,78540,38.7,3006433,3297149,70328,47411,147986,3868721,1677363,2013
Pennsylvania,12731381,6211805,6519576,722978,755977,778727,887355,770174,1025070,667560,312171,40.3,9971001,10467433,1385799,20258,363967,12731381,5565653,2013
Rhode Island,1051695,508455,543240,55938,58499,64620,78024,61508,78453,49804,27301,39.6,831949,855594,66569,4616,32384,1051695,462516,2013
South Carolina,4679602,2276305,2403297,298242,302111,297443,321540,289690,395048,199410,71757,38.1,3600525,3144146,1298534,14732,61097,4679602,2143464,2013
