State,total population,male,female,under_5yrs,5to9_yrs,10to14_yrs,15to19_yrs,60to64_yrs,65to74_yrs,75to84_yrs,85andover,median_age,18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,Year
Alabama,4830620,2341093,2489527,295054,305714,318437,324020,297297,416983,220721,81622,38.4,3718646,3325464,1276544,23850,59599,4830620,2199329,2015
Alaska,733375,384160,349215,54953,51339,51171,50306,40768,43803,16501,5402,33.4,545248,484250,25022,101313,42921,733375,308261,2015
Arizona,6641928,3299088,3342840,433835,455634,456495,456343,378638,588977,312535,118563,36.8,5024639,5210335,281576,294721,200090,6641928,2890664,2015
Arkansas,2958208,1451913,1506295,191780,201216,196569,198997,174325,260630,139653,53380,37.7,2250387,2307849,459748,18409,40336,2958208,1335016,2015
California,38421464,19087135,19334329,2511776,2535231,2542835,2667596,2036795,2688470,1446913,661937,35.8,29247121,23747013,2265387,287028,5261978,38421464,13845790,2015
Colorado,5278906,2648667,2630239,336874,353327,350509,342509,306739,383044,184310,77486,36.3,4037050,4446095,213787,50008,153467,5278906,2261063,2015
Connecticut,3593222,1751607,1841615,191445,214983,231075,255286,219040,291955,162332,87991,40.4,2808486,2778362,370501,8908,150670,3593222,1491786,2015
Delaware,926454,448413,478041,55812,56959,56966,60636,57942,85922,43569,17717,39.3,722300,642623,200481,3140,33643,926454,414416,2015
District of Columbia,647484,306674,340810,40433,30517,24714,38439,32164,41097,21690,10512,33.7,536179,260325,316447,2154,23822,647484,303312,2015
Florida,19645772,9600009,10045763,1081057,1110752,1140728,1187205,1217474,1984853,1167015,499123,41.4,15604649,14934702,3171108,54569,509085,19645772,9094999,2015
Georgia,10006693,4883331,5123362,665305,702218,708237,707733,539773,724626,342718,123123,35.9,7515613,6025691,3096757,25887,360448,10006693,4133065,2015
Hawaii,1406299,709871,696428,91057,84541,83879,80861,86155,119993,63068,36589,38,1098102,357164,28688,3012,530551,1406299,527388,2015
Idaho,1616547,810464,806083,114833,122344,122409,114521,94974,131389,65695,25730,35.5,1186901,1482914,9900,20504,21711,1616547,680302,2015
Illinois,12873761,6316899,6556862,801195,839359,856765,879516,735422,960789,531936,245263,37.3,9850027,9312771,1846108,28363,645642,12873761,5303675,2015
Indiana,6568645,3235263,3333382,420939,441865,451474,461816,383765,512828,277241,123062,37.3,4981994,5529201,603014,14793,121729,6568645,2820253,2015
Iowa,3093526,1534595,1558931,196570,204837,203159,214539,190878,249287,153362,77119,38.1,2366903,2820046,97788,9977,62997,3093526,1354264,2015
Kansas,2892987,1439862,1453125,200720,202503,201467,202699,164564,216059,127281,60955,36,2169470,2464566,168402,24022,75653,2892987,1244372,2015
Kentucky,4397353,2164208,2233145,276451,282564,286215,287643,268891,369111,188466,75398,38.5,3381288,3851591,347034,9063,55483,4397353,1944495,2015
Louisiana,4625253,2261156,2364097,309966,313513,307533,306642,268643,354872,186401,71396,36.1,3510657,2902538,1484363,27238,77818,4625253,1999855,2015
Maine,1329100,650081,679019,65406,73217,75100,83352,97011,132405,71370,30333,43.8,1066847,1262026,15037,7811,14590,1329100,726227,2015
Maryland,5930538,2872643,3057895,367722,371815,377167,392996,348352,453074,231813,106264,38.2,4582258,3416107,1750916,15579,357616,5930538,2410256,2015
Massachusetts,6705586,3249650,3455936,365841,378301,400842,462576,401263,534719,296646,154053,39.3,5307957,5334859,478947,13189,400675,6705586,2827820,2015
Michigan,9900571,4861973,5038598,575786,614020,649853,692063,627236,831394,449692,201779,39.5,7650918,7823875,1381388,53951,268766,9900571,4539838,2015
Minnesota,5419171,2692166,2727005,349261,361918,355325,360399,318174,410949,231431,111149,37.7,4138469,4594367,299176,56561,240786,5419171,2373884,2015
