State,total population,male,female,under_5yrs,5to9_yrs,10to14_yrs,15to19_yrs,60to64_yrs,65to74_yrs,75to84_yrs,85andover,median_age,18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,Year
Mississippi,2988081,1451723,1536358,197733,205605,209321,213121,172009,240051,127367,47415,36.5,2251908,1768174,1116457,12896,28900,2988081,1289704,2015
Missouri,6045448,2964003,3081445,376772,393287,391293,402622,363704,504067,279706,120828,38.2,4644769,4995527,697022,24951,106537,6045448,2729862,2015
Montana,1014699,510163,504536,60697,65404,60670,64896,70327,94479,48922,20880,39.7,790309,904977,4757,65693,7187,1014699,488845,2015
Nebraska,1869365,929606,939759,130036,132588,127538,128728,107537,139373,84306,40383,36.2,1404408,1647551,88195,16319,38066,1869365,809811,2015
Nevada,2798636,1407735,1390901,178808,189658,182503,175750,161857,235919,108571,36216,37.2,2137056,1929661,235721,31393,214846,2798636,1192083,2015
New Hampshire,1324201,653484,670717,65592,74255,80046,91704,90318,116302,59435,26227,42.2,1052521,1241313,17439,2238,31364,1324201,618950,2015
New Jersey,8904413,4343027,4561386,533644,552966,578193,583620,516880,697481,389184,192558,39.4,6881100,6083940,1202300,18335,804989,8904413,3577942,2015
New Mexico,2084117,1032414,1051703,137989,142552,141844,142996,128004,178442,92833,35203,37,1577427,1524911,43738,190528,28761,2084117,909565,2015
New York,19673174,9541801,10131373,1176432,1150246,1179723,1293794,1145011,1537968,863826,418641,38.1,15421400,12704637,3070392,74793,1570223,19673174,8171725,2015
North Carolina,9845333,4795408,5049925,611170,642541,649745,655024,574339,821205,419812,160175,38,7561498,6839831,2115338,116143,244076,9845333,4417210,2015
North Dakota,721640,367963,353677,48864,47057,41667,48032,41848,52108,33175,17357,35.4,558628,640208,11872,38286,8979,721640,341062,2015
Ohio,11575977,5662893,5913084,695996,735218,756684,785644,725453,961560,538589,247132,39.2,8919958,9538328,1412045,21646,216170,11575977,5140902,2015
Oklahoma,3849733,1906944,1942789,265720,267252,261649,258927,218162,311567,170028,65603,36.2,2901825,2813794,278571,279276,74570,3849733,1689427,2015
Oregon,3939233,1948453,1990780,231402,241969,239596,246101,265114,352241,172490,82146,39.1,3078882,3352941,72837,46258,156695,3939233,1695183,2015
Pennsylvania,12779559,6245344,6534215,717661,748764,768385,857111,810519,1105125,657717,321544,40.5,10057325,10430142,1403143,23641,392595,12779559,5585611,2015
Rhode Island,1053661,510388,543273,55230,58340,62107,75576,64101,85493,48474,28322,39.7,838642,854859,68243,5106,34213,1053661,462900,2015
South Carolina,4777576,2322409,2455167,292581,307266,301115,316263,302158,440550,208909,77320,38.6,3695743,3210708,1315058,14966,66982,4777576,2174319,2015
South Dakota,843190,423477,419713,59992,59379,54852,57404,51163,65475,39958,20180,36.8,635524,716691,13133,72619,10152,843190,372328,2015
Tennessee,6499615,3167756,3331859,400804,414859,423411,422111,393761,559199,284658,106468,38.4,5006729,5059894,1091070,17802,102027,6499615,2854542,2015
Texas,26538614,13171316,13367298,1951305,2001014,1957971,1908468,1327537,1737257,890652,340323,34.1,19479604,19874610,3152917,126493,1124011,26538614,10305607,2015
Utah,2903379,1459229,1444150,255244,256204,248440,224669,124831,162886,86855,33054,30.1,2005861,2544735,31909,31824,64102,2903379,1011099,2015
Vermont,626604,308573,318031,30395,33411,35991,45025,44850,58953,30123,13197,42.4,503333,594443,6949,2018,8774,626604,325174,2015
Virginia,8256630,4060948,4195682,512278,521304,517763,547283,479110,645504,320443,135714,37.6,6391962,5695147,1589345,22570,492973,8256630,3423291,2015
Washington,6985464,3487725,3497739,445803,442202,441411,442662,425793,555399,268942,123975,37.4,5388888,5434177,253224,93266,535501,6985464,2942127,2015
West Virginia,1851420,913631,937789,102759,105197,107958,113505,132773,182542,98105,38659,41.8,1469047,1732235,61367,2953,13485,1851420,883984,2015
Wisconsin,5742117,2851385,2890732,344395,366040,372498,387817,354899,461073,263030,124094,39,4432794,4967124,360792,50449,143732,5742117,2641627,2015
Wyoming,579679,295561,284118,38645,38717,38488,36935,37340,45719,23089,9192,36.8,441946,527763,6142,12658,5319,579679,266630,2015
