State,total population,male,female,under_5yrs,5to9_yrs,10to14_yrs,15to19_yrs,60to64_yrs,65to74_yrs,75to84_yrs,85andover,median_age,18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,Year
Alabama,4817678,2336020,2481658,299571,304412,321104,327579,292003,401417,217634,80210,38.2,3699760,3327891,1269808,25181,58322,4817678,2190638,2014
Alaska,728300,380119,348181,54498,51185,51427,50905,39721,40949,16077,5215,33.4,540210,484195,25148,102743,40976,728300,307820,2014
Arizona,6561516,3258791,3302725,440616,453952,455871,454843,370619,559095,301840,113552,36.5,4941024,5174082,274380,290780,191071,6561516,2874548,2014
Arkansas,2947036,1447235,1499801,193697,200107,197225,200220,173470,251769,137722,52684,37.6,2237479,2306073,458136,18337,38409,2947036,1329139,2014
California,38066920,18911519,19155401,2521299,2531195,2552173,2709174,1983216,2553063,1417512,647332,35.6,28854632,23650913,2262323,287360,5130536,38066920,13781929,2014
Colorado,5197580,2608270,2589310,337435,352695,344661,341735,295848,359148,179860,75337,36.2,3962883,4364911,209062,49917,146561,5197580,2238624,2014
Connecticut,3592053,1750621,1841432,194338,217491,234666,255499,214499,280541,162971,87567,40.3,2796968,2789105,365871,8036,145842,3592053,1490381,2014
Delaware,917060,443923,473137,55949,57547,56338,61458,55589,81415,42367,17300,39.1,712544,639354,198028,3134,31745,917060,411250,2014
District of Columbia,633736,300030,333706,38546,29421,24069,38929,32123,39650,21744,10329,33.7,525747,254955,314138,2072,22785,633736,300798,2014
Florida,19361792,9464651,9897141,1076836,1100919,1135272,1192305,1185073,1896734,1139305,482521,41.2,15340815,14747196,3114841,59121,490833,19361792,9051851,2014
Georgia,9907756,4837995,5069761,670885,700472,703784,708712,529246,686153,331371,120712,35.8,7419088,5989234,3056726,25137,344195,9907756,4114496,2014
Hawaii,1392704,701406,691298,90103,83494,83738,82334,86553,113698,62888,35070,38.2,1086115,350634,26913,2725,529907,1392704,524852,2014
Idaho,1599464,801678,797786,116313,120403,122181,113931,92104,124095,63653,25653,35.2,1170916,1468732,9334,20363,21749,1599464,675421,2014
Illinois,12868747,6313324,6555423,810671,846832,863760,892754,714755,924083,527254,244946,37,9813781,9331376,1849054,28535,627402,12868747,5299433,2014
Indiana,6542411,3220649,3321762,424056,445854,449429,463664,374490,492028,276158,120602,37.2,4950389,5519313,598423,15286,114674,6542411,2811617,2014
Iowa,3078116,1526116,1552000,196675,203636,202629,214364,185706,240304,153423,76251,38,2352724,2813097,95716,9688,59726,3078116,1348151,2014
Kansas,2882946,1433243,1449703,202749,204229,199552,202736,161447,207466,126343,61250,36,2157975,2457815,167220,23727,72568,2882946,1240529,2014
Kentucky,4383272,2156251,2227021,277776,282464,287413,288814,263250,354219,186171,74106,38.3,3364922,3845535,345035,9000,53448,4383272,1938836,2014
Louisiana,4601049,2250251,2350798,311324,310980,308692,310477,260558,340124,183669,70014,36,3485438,2890570,1477781,28807,75409,4601049,1988460,2014
Maine,1328535,649601,678934,66079,73903,76279,84596,95955,125797,70945,29730,43.5,1063157,1262817,14865,7552,14610,1328535,724685,2014
Maryland,5887776,2851238,3036538,367111,370782,377415,396418,339870,431518,228287,104252,38.1,4538800,3418336,1737155,16429,344956,5887776,2399375,2014
Massachusetts,6657291,3224430,3432861,365403,381739,401105,464830,392402,509204,298938,150458,39.3,5254679,5326774,465792,13642,384642,6657291,2816875,2014
Michigan,9889024,4854677,5034347,578977,622670,657095,704179,611323,795071,447599,199410,39.3,7614747,7829621,1383205,54960,258567,9889024,4532719,2014
Minnesota,5383661,2674354,2709307,349909,358637,355902,362869,307231,392161,229222,108999,37.6,4103639,4585781,290545,56490,230798,5383661,2364149,2014
Mississippi,2984345,1448840,1535505,201453,205557,211438,214272,169365,231320,125703,46145,36.3,2241046,1769693,1113652,13056,28067,2984345,1284794,2014
Missouri,6028076,2953719,3074357,379273,391887,394879,408501,356266,486203,276847,119502,38.1,4621582,4991914,695813,24269,101772,6028076,2723417,2014
Montana,1006370,505536,500834,61102,64285,60387,65465,68001,89502,48010,20672,39.8,782701,899503,4563,65110,6651,1006370,486782,2014
Nebraska,1855617,921597,934020,130448,131016,126689,128468,104776,133009,85000,39654,36.2,1392964,1637794,86423,16163,35696,1855617,805256,2014
Nevada,2761584,1390921,1370663,180577,187517,181793,177664,158776,223343,103830,35010,36.9,2100484,1935379,229638,30155,207610,2761584,1185232,2014
New Hampshire,1321069,651809,669260,66576,75728,80599,92670,88343,109886,58656,25342,41.8,1045343,1239543,16293,2510,30560,1321069,617286,2014
New Jersey,8874374,4326518,4547856,535871,556159,582386,588535,505848,669942,390293,189029,39.3,6838290,6094052,1201339,18921,779841,8874374,3572138,2014
New Mexico,2080085,1029757,1050328,140022,142385,143728,143923,127885,170263,91142,33862,36.8,1569208,1521876,42515,190350,28578,2080085,907233,2014
New York,19594330,9495978,10098352,1170258,1156152,1188491,1313973,1123417,1479233,865115,410824,38.1,15322098,12733518,3060048,74572,1522549,19594330,8153309,2014
North Carolina,9750405,4750366,5000039,618246,639723,647991,654448,562351,780502,408220,157370,37.8,7466181,6784901,2093389,113798,231830,9750405,4385668,2014
North Dakota,704925,358862,346063,46870,44954,40840,48403,39869,50171,33726,17005,35.9,546624,628770,10781,36989,8124,704925,332010,2014
Ohio,11560380,5651577,5908803,700088,741211,761422,793937,709192,923149,539324,242126,39.1,8886719,9549343,1407493,21077,208725,11560380,5135173,2014
Oklahoma,3818851,1891526,1927325,264867,264936,259640,259043,213072,301305,168209,64554,36.2,2877526,2799122,277007,274099,71396,3818851,1680457,2014
Oregon,3900343,1929053,1971290,231807,239781,240964,247827,257673,331306,169999,80968,38.9,3040254,3317668,70700,47155,152259,3900343,1685814,2014
Pennsylvania,12758729,6230805,6527924,719941,751562,774622,872281,792712,1061842,661263,318453,40.4,10018509,10449680,1395718,22951,377735,12758729,5578393,2014
