State,total population,male,female,under_5yrs,5to9_yrs,10to14_yrs,15to19_yrs,60to64_yrs,65to74_yrs,75to84_yrs,85andover,median_age,18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,Year
Rhode Island,1053252,509826,543426,55512,58459,63455,76889,63224,81642,48988,28042,39.7,835826,856605,66827,4951,32994,1053252,462930,2014
South Carolina,4727273,2298320,2428953,295468,302448,301785,317103,296839,416941,203419,75091,38.3,3647245,3176381,1305347,15137,63199,4727273,2160383,2014
South Dakota,834708,419494,415214,59303,57691,55424,57997,49347,62692,39912,19740,36.8,628698,712496,12642,72016,9433,834708,369186,2014
Tennessee,6451365,3143195,3308170,402121,413268,423990,424724,389854,535098,279985,103135,38.3,4958891,5029109,1082001,17656,98441,6451365,2839142,2014
Texas,26092033,12949685,13142348,1940753,1976991,1936129,1891849,1282131,1649502,870036,330219,33.9,19101945,19499105,3094227,127236,1067008,26092033,10187189,2014
Utah,2858111,1436648,1421463,257214,254193,243107,221784,118856,154578,84816,32277,29.9,1969166,2515352,31163,31999,60631,2858111,999734,2014
Vermont,626358,308506,317852,30738,33940,36644,45186,43804,55892,29707,12879,42.2,501347,595385,6435,2008,8200,626358,324332,2014
Virginia,8185131,4022624,4162507,511320,518815,517643,550376,470774,614708,314997,131343,37.6,6322847,5668363,1577943,23421,475632,8185131,3403241,2014
Washington,6899123,3443508,3455615,443807,436666,441813,447691,415188,523311,262529,122651,37.4,5308928,5392302,250484,95117,518072,6899123,2921364,2014
West Virginia,1853881,914580,939301,103044,105796,108408,114769,130371,175725,98022,37878,41.6,1470154,1735816,59129,3075,13144,1853881,883197,2014
Wisconsin,5724692,2842050,2882642,347284,365842,375173,391968,343237,439787,261421,122791,38.8,4408031,4965198,357758,49563,137404,5724692,2635602,2014
Wyoming,575251,293467,281784,38932,38374,37663,37463,35537,43430,22691,9102,36.8,438387,522535,5958,13144,5377,575251,265195,2014
