State,ES_16above,ES_inlabor,ES_not_inlabor,ES_own_under6,ES_Gov,ES_Const,ES_Manuf,Year
Alabama,3894696,2237164,1657532,329913,317652,135759,295803,2018
Alaska,571528,396353,175175,62365,89667,24492,12792,2018
Arizona,5498826,3274526,2224300,497853,416321,208060,211862,2018
Arkansas,2364108,1372359,991749,216357,197397,84382,174680,2018
California,31109195,19758291,11350904,2857888,2460813,1132708,1706099,2018
Colorado,4409148,3012312,1396836,391839,378614,229930,190116,2018
Connecticut,2924591,1944843,979748,215787,231961,107331,190995,2018
Delaware,769793,482623,287170,62203,65343,29997,38131,2018
District of Columbia,573275,401740,171535,49463,89149,10009,4684,2018
Florida,16932309,9931799,7000510,1282636,1079061,677886,470883,2018
Georgia,8082220,5091132,2991088,754832,683645,312382,501425,2018
Hawaii,1147445,749527,397918,101726,136067,49734,20423,2018
Idaho,1298537,810430,488107,133543,112234,55969,75266,2018
Illinois,10234674,6679997,3554677,902341,731591,328620,753276,2018
Indiana,5243518,3348477,1895041,480397,331328,187588,600516,2018
Iowa,2484354,1676339,808015,231043,214090,103031,240151,2018
Kansas,2272565,1511705,760860,227290,220929,90820,176981,2018
Kentucky,3542792,2101888,1440904,307782,277015,115400,283018,2018
Louisiana,3677980,2197041,1480939,354266,300589,164773,157532,2018
Maine,1109357,699180,410177,74945,88279,45754,59570,2018
Maryland,4809210,3261655,1547555,423297,657576,207235,135715,2018
Massachusetts,5619991,3778642,1841349,421415,430312,201006,316985,2018
Michigan,8027949,4923316,3104633,661175,474598,240108,853474,2018
Minnesota,4379008,3053005,1326003,411663,341016,173411,392925,2018
Mississippi,2350291,1349340,1000951,214991,223242,81780,163470,2018
Missouri,4864065,3062496,1801569,426258,344768,181680,330525,2018
Montana,838808,532854,305954,71257,86165,41436,23909,2018
Nebraska,1483161,1035610,447551,153480,136096,68101,103037,2018
Nevada,2322826,1480282,842544,209345,160996,92041,60312,2018
New Hampshire,1114817,756239,358578,75482,93774,49932,89824,2018
New Jersey,7142175,4684112,2458063,608682,585858,254856,359849,2018
New Mexico,1655769,960566,695203,148280,193594,61448,35542,2018
New York,15951997,10070138,5881859,1329064,1446495,533001,574143,2018
North Carolina,8124899,5071505,3053394,697120,665776,316244,579014,2018
North Dakota,595742,418604,177138,60606,62789,29387,27490,2018
Ohio,9332790,5901307,3431483,795810,662239,293113,851322,2018
Oklahoma,3063396,1878306,1185090,301453,291713,126336,169679,2018
Oregon,3313374,2061035,1252339,266708,259914,117731,220758,2018
Pennsylvania,10432506,6536846,3895660,820551,631633,357563,727961,2018
Rhode Island,873369,565997,307372,63773,65412,28855,56960,2018
South Carolina,3985183,2411983,1573200,332200,329934,148072,304868,2018
South Dakota,673638,461750,211888,69152,65455,32118,45662,2018
Tennessee,5321857,3257398,2064459,459171,408085,193830,398909,2018
Texas,21394120,13818331,7575789,2307153,1692105,1088705,1116997,2018
Utah,2224253,1514938,709315,296973,207774,100817,153394,2018
Vermont,521723,343168,178555,34727,45896,23391,34874,2018
Virginia,6756219,4450906,2305313,588532,823962,271915,291491,2018
Washington,5843155,3761036,2082119,524663,551511,230167,354379,2018
West Virginia,1499244,797423,701821,111965,139552,45449,59493,2018
Wisconsin,4639447,3092330,1547117,393049,358325,167256,541654,2018
Wyoming,458979,307485,151494,43120,59143,23314,12071,2018
