State,Male_household_nofamily,None_Family_household,Householder_living_alone,Household_people_under18,Population_in_household,Relationship_child,Never_Married,Divorced,Kindergarten,12grade_nodiploma,Some_college_no_degree,Grade_professional_degree,Naturalised_US_citizen,Not_US_citizen,Year
Pennsylvania,209217,1717667,1442877,1493320,12229824,3599290,1743913,412100,147712,709982,1402444,879628,362007,361419,2011
Rhode Island,17354,153455,125676,125973,1010718,298702,156592,38274,11515,63656,128082,85339,64737,70829,2011
South Carolina,75914,572864,484505,571683,4436123,1304569,600555,159316,69019,322450,608707,259911,69850,150031,2011
South Dakota,12577,110648,92230,100876,774058,221647,102370,31439,10059,29557,116298,39920,7663,12045,2011
Tennessee,106413,809243,686116,799853,6145671,1786633,747875,276487,83310,432019,875900,342180,90496,193782,2011
Texas,427461,2593164,2142925,3377887,24192972,7994324,3174244,860116,400633,1507642,3449426,1330503,1294355,2711470,2011
Utah,35480,217004,168227,374354,2670193,980703,309710,77186,48463,97492,421984,146883,74834,148699,2011
Vermont,10971,93777,71370,75021,600072,154292,84150,27426,6508,25353,73218,57164,13872,10541,2011
Virginia,123457,975066,790785,1005791,7685632,2250818,1045465,256842,104799,424932,1050703,749438,393323,476761,2011
Washington,114882,919466,717979,840845,6511409,1848170,876357,280038,83528,273053,1114198,500342,379106,475133,2011
West Virginia,30955,253197,217114,209780,1797596,491113,222072,88407,20821,140334,231195,86980,11337,12956,2011
Wisconsin,94807,799963,645180,711178,5513806,1578567,752219,210786,86490,250548,791771,330966,108824,154542,2011
Wyoming,9289,74349,60205,68637,541016,149081,66382,26460,7223,20545,99220,29789,6085,11166,2011
