State,Male_household_nofamily,None_Family_household,Householder_living_alone,Household_people_under18,Population_in_household,Relationship_child,Never_Married,Divorced,Kindergarten,12grade_nodiploma,Some_college_no_degree,Grade_professional_degree,Naturalised_US_citizen,Not_US_citizen,Year
Alabama,77134,585032,510673,607193,4632923,1394439,572658,203574,64682,375911,674560,251228,49117,114142,2011
Alaska,15000,81972,62655,95453,675078,212221,101453,30524,9506,23883,126875,41882,25340,23016,2011
Arizona,119859,791395,629270,785832,6199144,1867081,849440,256882,88680,336073,1061064,390775,300117,582787,2011
Arkansas,48104,356839,305904,371867,2817035,824637,322285,131933,39180,203558,417561,124878,36607,90874,2011
California,720606,3907817,3026747,4661196,36144015,11619457,5645887,1146426,512221,2099761,5186847,2612035,4580888,5461686,2011
Colorado,82660,694774,549281,638175,4851443,1398991,661410,197518,67921,197949,736321,425109,164576,318639,2011
Connecticut,55058,451291,372832,454026,3440558,1047983,484064,119713,42200,164150,420489,375913,221784,252355,2011
Delaware,16029,106080,85660,109907,866338,257828,120441,31601,11507,50415,120711,67260,30816,43317,2011
District of Columbia,9747,150622,121510,53447,554412,128891,137826,20355,5939,32130,57920,114368,29069,49838,2011
Florida,322723,2489843,2022309,2102414,18269007,5148259,2480094,823812,217253,1136780,2701585,1195547,1728317,1867474,2011
Georgia,158845,1101433,916592,1279005,9345103,2948282,1261649,353373,145467,618820,1259802,605510,327496,601659,2011
Hawaii,24930,135229,105914,153239,1304538,376257,200519,46503,16566,47752,202617,90856,135139,104951,2011
Idaho,24286,172323,136213,208913,1521101,472459,166712,63315,24054,69445,261462,74065,30355,61769,2011
Illinois,214190,1619477,1353070,1616520,12484415,3947539,1806569,419344,172098,632536,1772717,972020,785705,969103,2011
Indiana,106958,816771,679814,826413,6267616,1907150,798425,278320,89599,382906,866012,341306,103124,189641,2011
Iowa,45910,425181,348813,375095,2933475,828685,370180,113452,39938,116675,433072,153208,47402,81066,2011
Kansas,46083,374348,310792,368056,2751599,819244,340068,110923,40121,115501,437905,186423,59979,122711,2011
Kentucky,72787,549670,469982,553372,4190755,1228520,509862,197189,57625,300804,577977,240824,44788,90738,2011
Louisiana,78886,553131,468108,578073,4357879,1366758,620439,179260,63944,340156,608440,201800,67271,97421,2011
Maine,22071,199548,156653,156314,1293004,334367,161396,62790,14593,57036,184183,90319,24802,19222,2011
Maryland,98219,700276,573677,736609,5598250,1707360,797475,178862,74815,282932,750947,618134,349023,425698,2011
Massachusetts,100398,918469,732319,797866,6273699,1852648,961249,196031,82362,274938,718047,733672,470913,486501,2011
Michigan,163620,1290413,1084855,1225341,9687213,3005500,1338217,389800,132316,534231,1561637,638046,291617,304113,2011
Minnesota,84536,730881,588867,675625,5142657,1505778,705421,176543,68829,172906,784679,359091,165211,210395,2011
Mississippi,51366,333643,291354,389023,2863781,912466,382851,120700,47139,241459,421669,133307,20660,44398,2011
Missouri,99298,804088,669653,756999,5782335,1690782,730720,248593,79649,348445,888762,371388,94159,133436,2011
Montana,15810,146689,118262,115602,954245,252116,121614,46507,12438,39426,162730,58061,10216,9372,2011
Nebraska,28350,248082,205221,232163,1761808,518484,224388,65285,25437,66462,282220,104436,37759,71713,2011
Nevada,59448,340611,261652,339420,2637539,779921,365767,133548,35172,166217,452677,131911,206157,308038,2011
New Hampshire,20935,166829,128449,163368,1276122,359386,160538,54673,15238,53236,171847,108934,35856,33019,2011
New Jersey,148403,979513,827372,1119871,8565450,2749421,1219792,228916,116315,405947,1003966,778213,909075,895759,2011
New Mexico,44061,260204,215030,254558,1994624,620120,278202,87988,27970,122275,311023,142120,64723,135180,2011
New York,348486,2558832,2101673,2345755,18711449,5767384,2979861,524652,236505,1091242,2097401,1819016,2191893,2023155,2011
North Carolina,155092,1215212,1012403,1219136,9159697,2677585,1169417,327409,126945,618544,1330839,553158,210009,490207,2011
North Dakota,9540,107047,87953,79472,641748,171349,95002,23527,8317,21042,103197,30177,6213,10191,2011
Ohio,190375,1578296,1328226,1443749,11218814,3358030,1472569,471348,149815,676886,1574430,692282,217854,232993,2011
Oklahoma,64464,474837,399850,478868,3603411,1057464,428280,169369,55273,226368,577792,182239,64579,134648,2011
Oregon,63746,547568,421820,455849,3716178,1013285,489519,170561,45729,179556,685104,272793,135586,237555,2011
